"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.038585,3.2372,2.2678e-20,1.4629,1,5.6698,23.294,-31.8,0
-0.038503,3.2412,1.8713e-20,1.451,1,5.7425,23.301,-31.728,0
-0.038413,3.2453,1.4267e-20,1.439,1,5.8152,23.309,-31.655,0
-0.038316,3.2494,9.3427e-21,1.4271,1,5.8879,23.316,-31.583,0
-0.038212,3.2534,3.939e-21,1.4151,1,5.9606,23.323,-31.511,0
-0.038047,3.2573,7.9055e-22,1.4036,1,6.0333,23.331,-31.438,0
-0.037855,3.2612,-1.9627e-21,1.3923,1,6.106,23.338,-31.366,0
-0.037655,3.265,-5.3964e-21,1.3809,1,6.1786,23.345,-31.294,0
-0.037448,3.2689,-9.5098e-21,1.3695,1,6.2513,23.353,-31.221,0
-0.037232,3.2728,-1.4302e-20,1.3582,1,6.324,23.36,-31.149,0
-0.037009,3.2766,-1.9676e-20,1.3468,1,6.3967,23.367,-31.077,0
-0.036771,3.2805,-2.3296e-20,1.3355,1,6.4694,23.375,-31.004,0
-0.036466,3.2841,-2.0888e-20,1.3249,1,6.5421,23.382,-30.932,0
-0.036151,3.2877,-1.865e-20,1.3143,1,6.6148,23.389,-30.86,0
-0.035827,3.2912,-1.658e-20,1.3037,1,6.6875,23.397,-30.787,0
-0.035492,3.2948,-1.4679e-20,1.2931,1,6.7602,23.404,-30.715,0
-0.035148,3.2983,-1.2947e-20,1.2825,1,6.8329,23.412,-30.643,0
-0.034795,3.3019,-1.1384e-20,1.2719,1,6.9055,23.419,-30.57,0
-0.034442,3.3053,-7.8251e-21,1.2617,1,6.9782,23.426,-30.498,0
-0.034092,3.3085,-1.7366e-21,1.2519,1,7.0509,23.434,-30.426,0
-0.033734,3.3117,4.7204e-21,1.2422,1,7.1236,23.441,-30.353,0
-0.033366,3.3149,1.1546e-20,1.2324,1,7.1963,23.448,-30.281,0
-0.032989,3.3181,1.8739e-20,1.2227,1,7.269,23.456,-30.209,0
-0.032604,3.3213,2.63e-20,1.213,1,7.3417,23.463,-30.137,0
-0.032209,3.3244,3.4228e-20,1.2033,1,7.4144,23.47,-30.064,0
-0.031807,3.3273,3.2219e-20,1.1943,1,7.4871,23.478,-29.992,0
-0.031398,3.3302,2.8264e-20,1.1854,1,7.5598,23.485,-29.92,0
-0.030981,3.333,2.5053e-20,1.1765,1,7.6324,23.492,-29.847,0
-0.030557,3.3358,2.2585e-20,1.1677,1,7.7051,23.5,-29.775,0
-0.030125,3.3385,2.086e-20,1.1588,1,7.7778,23.507,-29.703,0
-0.029685,3.3413,1.9877e-20,1.15,1,7.8505,23.514,-29.63,0
-0.029242,3.344,1.9387e-20,1.1412,1,7.9232,23.522,-29.558,0
-0.028854,3.3465,1.4703e-20,1.1331,1,7.9959,23.529,-29.486,0
-0.02846,3.349,8.8936e-21,1.125,1,8.0686,23.536,-29.413,0
-0.02806,3.3515,1.9611e-21,1.1169,1,8.1413,23.544,-29.341,0
-0.027653,3.3539,-6.0939e-21,1.1088,1,8.214,23.551,-29.269,0
-0.02724,3.3564,-1.527e-20,1.1008,1,8.2867,23.558,-29.196,0
-0.026821,3.3588,-2.5567e-20,1.0927,1,8.3593,23.566,-29.124,0
-0.026395,3.361,-3.1175e-20,1.0848,1,8.432,23.573,-29.052,0
-0.025947,3.3621,-2.0915e-20,1.0773,1,8.5047,23.58,-28.979,0
-0.025496,3.3632,-1.1369e-20,1.0698,1,8.5774,23.588,-28.907,0
-0.02504,3.3642,-2.5362e-21,1.0623,1,8.6501,23.595,-28.835,0
-0.02458,3.3652,5.5844e-21,1.0549,1,8.7228,23.602,-28.762,0
-0.024116,3.3661,1.2993e-20,1.0474,1,8.7955,23.61,-28.69,0
-0.023647,3.3669,1.9691e-20,1.0399,1,8.8682,23.617,-28.618,0
-0.023201,3.3676,1.826e-20,1.0327,1,8.9409,23.624,-28.546,0
-0.022781,3.3682,8.2227e-21,1.0256,1,9.0136,23.632,-28.473,0
-0.022357,3.3688,-7.6297e-22,1.0185,1,9.0862,23.639,-28.401,0
-0.021929,3.3693,-8.6977e-21,1.0115,1,9.1589,23.646,-28.329,0
-0.021495,3.3697,-1.5583e-20,1.0044,1,9.2316,23.654,-28.256,0
-0.021057,3.37,-2.1419e-20,0.99735,1,9.3043,23.661,-28.184,0
-0.020614,3.3704,-2.6207e-20,0.9903,1,9.377,23.668,-28.112,0
-0.020156,3.3705,-2.9211e-20,0.98337,1,9.4497,23.676,-28.039,0
-0.019688,3.3706,-3.194e-20,0.97652,1,9.5224,23.683,-27.967,0
-0.019217,3.3706,-3.5325e-20,0.96966,1,9.5951,23.69,-27.895,0
-0.018743,3.3706,-3.9366e-20,0.96281,1,9.6678,23.698,-27.822,0
-0.018267,3.3705,-4.4062e-20,0.95597,1,9.7405,23.705,-27.75,0
-0.017788,3.3704,-4.9414e-20,0.94912,1,9.8131,23.712,-27.678,0
-0.017307,3.3702,-5.5419e-20,0.94227,1,9.8858,23.72,-27.605,0
-0.016818,3.3699,-4.959e-20,0.93544,1,9.9585,23.727,-27.533,0
-0.016322,3.3696,-3.682e-20,0.92862,1,10.031,23.734,-27.461,0
-0.015821,3.3692,-2.4062e-20,0.92178,1,10.104,23.742,-27.388,0
-0.015316,3.3688,-1.1317e-20,0.91495,1,10.177,23.749,-27.316,0
-0.014806,3.3683,1.4159e-21,0.90811,1,10.249,23.756,-27.244,0
-0.014291,3.3678,1.4136e-20,0.90127,1,10.322,23.764,-27.171,0
-0.013771,3.3673,2.6844e-20,0.89442,1,10.395,23.771,-27.099,0
-0.013181,3.3641,2.5792e-20,0.88748,1,10.467,23.778,-27.027,0
-0.012561,3.358,1.7368e-20,0.88047,1,10.54,23.786,-26.955,0
-0.011948,3.3518,8.9568e-21,0.87344,1,10.613,23.793,-26.882,0
-0.011341,3.3455,5.5933e-22,0.8664,1,10.685,23.8,-26.81,0
-0.01074,3.3391,-7.8246e-21,0.85935,1,10.758,23.808,-26.738,0
-0.010146,3.3325,-1.6195e-20,0.85228,1,10.831,23.815,-26.665,0
-0.0095583,3.3259,-2.4553e-20,0.84519,1,10.903,23.822,-26.593,0
-0.0089463,3.3192,-2.7461e-20,0.83793,1,10.976,23.83,-26.521,0
-0.0083201,3.3125,-2.6525e-20,0.83054,1,11.049,23.837,-26.448,0
-0.0076984,3.3057,-2.5022e-20,0.82313,1,11.122,23.844,-26.376,0
-0.0070813,3.2988,-2.2953e-20,0.8157,1,11.194,23.852,-26.304,0
-0.0064688,3.2917,-2.0318e-20,0.80825,1,11.267,23.859,-26.231,0
-0.0058608,3.2846,-1.7117e-20,0.80077,1,11.34,23.866,-26.159,0
-0.0052574,3.2774,-1.3351e-20,0.79327,1,11.412,23.874,-26.087,0
-0.0045575,3.2702,-5.1392e-21,0.78554,1,11.485,23.881,-26.014,0
-0.0037682,3.2629,6.253e-21,0.77758,1,11.558,23.888,-25.942,0
-0.0029834,3.2556,1.6919e-20,0.7696,1,11.63,23.896,-25.87,0
-0.0022031,3.2482,2.6859e-20,0.76159,1,11.703,23.903,-25.797,0
-0.0014272,3.2407,3.6073e-20,0.75356,1,11.776,23.91,-25.725,0
-0.00065587,3.2331,4.4562e-20,0.74549,1,11.848,23.918,-25.653,0
0.00011105,3.2254,5.2326e-20,0.7374,1,11.921,23.925,-25.58,0
0.00090282,3.2178,5.1711e-20,0.72906,1,11.994,23.932,-25.508,0
0.0017443,3.2104,3.7691e-20,0.72032,1,12.067,23.94,-25.436,0
0.0025858,3.203,2.3932e-20,0.71154,1,12.139,23.947,-25.363,0
0.0034272,3.1954,1.0433e-20,0.70273,1,12.212,23.954,-25.291,0
0.0042685,3.1878,-2.8066e-21,0.69389,1,12.285,23.962,-25.219,0
0.0051097,3.1802,-1.5786e-20,0.68501,1,12.357,23.969,-25.147,0
0.0061369,3.165,-2.7488e-20,0.67619,1,12.43,23.976,-25.074,0
0.0073459,3.1443,-3.55e-20,0.66728,1,12.503,23.984,-25.002,0
0.0088084,3.124,-3.223e-20,0.65765,1,12.575,23.991,-24.93,0
0.010257,3.1036,-2.9242e-20,0.64798,1,12.648,23.998,-24.857,0
0.011692,3.0833,-2.6537e-20,0.63828,1,12.721,24.006,-24.785,0
0.013114,3.063,-2.4113e-20,0.62854,1,12.793,24.013,-24.713,0
0.014522,3.0426,-2.1971e-20,0.61877,1,12.866,24.021,-24.64,0
0.015916,3.0223,-2.0111e-20,0.60896,1,12.939,24.028,-24.568,0
0.017297,3.0019,-1.8532e-20,0.59912,1,13.012,24.035,-24.496,0
0.018546,2.9823,-1.1737e-20,0.58822,1,13.084,24.043,-24.423,0
0.019769,2.9629,-4.5251e-21,0.57713,1,13.157,24.05,-24.351,0
0.020981,2.9435,2.4101e-21,0.566,1,13.23,24.057,-24.279,0
0.022182,2.9241,9.0684e-21,0.55482,1,13.302,24.065,-24.206,0
0.023372,2.9047,1.545e-20,0.54359,1,13.375,24.072,-24.134,0
0.024551,2.8854,2.1555e-20,0.53231,1,13.448,24.079,-24.062,0
0.025719,2.866,2.7384e-20,0.52098,1,13.52,24.087,-23.989,0
