# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
59.3           	U              	(3.15632797e-03 -1.61098011e-03 -5.13305039e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16657226e+00 1.70633739e-01 7.91942784e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.35          	p              	-5.03815153e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84271297e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.35          	U              	(3.15624838e-03 -1.61091461e-03 -5.13302473e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16656957e+00 1.70635112e-01 7.91934268e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.4           	p              	-5.03800186e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84281736e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.4           	U              	(3.15616927e-03 -1.61084961e-03 -5.13299941e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16656688e+00 1.70636487e-01 7.91925722e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.45          	p              	-5.03785201e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84292186e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.45          	U              	(3.15609062e-03 -1.61078510e-03 -5.13297410e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16656419e+00 1.70637864e-01 7.91917188e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.5           	p              	-5.03770255e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84302593e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.5           	U              	(3.15601241e-03 -1.61072105e-03 -5.13294881e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16656149e+00 1.70639243e-01 7.91908651e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.55          	p              	-5.03755348e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84312964e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.55          	U              	(3.15593465e-03 -1.61065748e-03 -5.13292348e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16655880e+00 1.70640624e-01 7.91900127e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.6           	p              	-5.03740660e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84323112e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.6           	U              	(3.15585747e-03 -1.61059449e-03 -5.13289817e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16655610e+00 1.70642006e-01 7.91891682e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.65          	p              	-5.03725346e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84333900e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.65          	U              	(3.15578055e-03 -1.61053183e-03 -5.13287307e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16655340e+00 1.70643390e-01 7.91882983e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.7           	p              	-5.03711210e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84343528e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.7           	U              	(3.15570460e-03 -1.61047006e-03 -5.13284676e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16655070e+00 1.70644775e-01 7.91874738e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.75          	p              	-5.03695688e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84354425e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.75          	U              	(3.15562825e-03 -1.61040805e-03 -5.13282336e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16654800e+00 1.70646163e-01 7.91865920e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.8           	p              	-5.03681586e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84364016e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.8           	U              	(3.15555276e-03 -1.61034683e-03 -5.13279702e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16654530e+00 1.70647551e-01 7.91857715e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.85          	p              	-5.03666265e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84374803e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.85          	U              	(3.15547743e-03 -1.61028585e-03 -5.13277266e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16654259e+00 1.70648940e-01 7.91848946e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.9           	p              	-5.03652289e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84384246e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.9           	U              	(3.15540312e-03 -1.61022583e-03 -5.13274622e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16653988e+00 1.70650330e-01 7.91840765e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
59.95          	p              	-5.03637017e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84394992e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
59.95          	U              	(3.15532899e-03 -1.61016606e-03 -5.13272172e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16653718e+00 1.70651722e-01 7.91832032e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60             	p              	-5.03623135e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84404351e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60             	U              	(3.15525574e-03 -1.61010710e-03 -5.13269560e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16653447e+00 1.70653114e-01 7.91823844e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.05          	p              	-5.03607932e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84415034e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.05          	U              	(3.15518263e-03 -1.61004836e-03 -5.13267111e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16653175e+00 1.70654507e-01 7.91815123e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.1           	p              	-5.03594118e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84424322e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.1           	U              	(3.15511040e-03 -1.60999044e-03 -5.13264497e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16652904e+00 1.70655899e-01 7.91806973e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.15          	p              	-5.03579174e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84434741e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.15          	U              	(3.15503843e-03 -1.60993284e-03 -5.13262051e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16652632e+00 1.70657293e-01 7.91798354e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.2           	p              	-5.03564944e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84444449e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.2           	U              	(3.15496713e-03 -1.60987589e-03 -5.13259467e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16652361e+00 1.70658686e-01 7.91790042e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.25          	p              	-5.03550513e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84454374e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.25          	U              	(3.15489627e-03 -1.60981940e-03 -5.13256969e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16652089e+00 1.70660080e-01 7.91781615e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.3           	p              	-5.03536206e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84464164e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.3           	U              	(3.15482601e-03 -1.60976349e-03 -5.13254423e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16651817e+00 1.70661473e-01 7.91773259e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.35          	p              	-5.03521905e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84473964e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.35          	U              	(3.15475626e-03 -1.60970809e-03 -5.13251907e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16651545e+00 1.70662867e-01 7.91764891e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.4           	p              	-5.03507655e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84483708e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.4           	U              	(3.15468707e-03 -1.60965325e-03 -5.13249376e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16651273e+00 1.70664260e-01 7.91756552e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.45          	p              	-5.03493440e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84493427e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.45          	U              	(3.15461839e-03 -1.60959893e-03 -5.13246861e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16651000e+00 1.70665653e-01 7.91748213e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.5           	p              	-5.03479266e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84503102e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.5           	U              	(3.15455031e-03 -1.60954519e-03 -5.13244327e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16650728e+00 1.70667046e-01 7.91739920e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.55          	p              	-5.03465132e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84512747e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.55          	U              	(3.15448276e-03 -1.60949197e-03 -5.13241815e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16650455e+00 1.70668437e-01 7.91731621e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.6           	p              	-5.03451040e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84522353e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.6           	U              	(3.15441577e-03 -1.60943932e-03 -5.13239293e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16650183e+00 1.70669828e-01 7.91723348e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.65          	p              	-5.03436992e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84531922e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.65          	U              	(3.15434934e-03 -1.60938720e-03 -5.13236778e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16649910e+00 1.70671219e-01 7.91715091e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.7           	p              	-5.03422980e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84541457e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.7           	U              	(3.15428347e-03 -1.60933564e-03 -5.13234264e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16649637e+00 1.70672608e-01 7.91706855e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.75          	p              	-5.03409016e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84550952e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.75          	U              	(3.15421817e-03 -1.60928464e-03 -5.13231750e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16649364e+00 1.70673996e-01 7.91698641e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.8           	p              	-5.03395070e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84560429e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.8           	U              	(3.15415340e-03 -1.60923415e-03 -5.13229251e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16649091e+00 1.70675383e-01 7.91690441e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.85          	p              	-5.03381187e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84569854e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.85          	U              	(3.15408920e-03 -1.60918422e-03 -5.13226743e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16648817e+00 1.70676769e-01 7.91682263e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.9           	p              	-5.03367336e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84579252e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.9           	U              	(3.15402557e-03 -1.60913485e-03 -5.13224241e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16648544e+00 1.70678153e-01 7.91674113e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
60.95          	p              	-5.03353532e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84588609e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
60.95          	U              	(3.15396254e-03 -1.60908604e-03 -5.13221736e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16648271e+00 1.70679535e-01 7.91665983e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61             	p              	-5.03339801e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84597910e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61             	U              	(3.15390022e-03 -1.60903792e-03 -5.13219205e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16647997e+00 1.70680916e-01 7.91657900e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.05          	p              	-5.03326013e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84607246e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.05          	U              	(3.15383821e-03 -1.60899012e-03 -5.13216779e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16647724e+00 1.70682296e-01 7.91649771e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.1           	p              	-5.03312335e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84616498e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.1           	U              	(3.15377681e-03 -1.60894290e-03 -5.13214265e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16647450e+00 1.70683673e-01 7.91641715e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.15          	p              	-5.03298691e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84625723e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.15          	U              	(3.15371595e-03 -1.60889620e-03 -5.13211797e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16647176e+00 1.70685049e-01 7.91633672e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.2           	p              	-5.03285088e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84634913e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.2           	U              	(3.15365571e-03 -1.60885010e-03 -5.13209305e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16646903e+00 1.70686422e-01 7.91625660e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.25          	p              	-5.03271531e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84644065e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.25          	U              	(3.15359605e-03 -1.60880454e-03 -5.13206831e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16646629e+00 1.70687794e-01 7.91617672e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.3           	p              	-5.03258014e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84653184e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.3           	U              	(3.15353699e-03 -1.60875956e-03 -5.13204354e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16646355e+00 1.70689163e-01 7.91609710e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.35          	p              	-5.03244544e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84662266e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.35          	U              	(3.15347850e-03 -1.60871512e-03 -5.13201885e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16646081e+00 1.70690530e-01 7.91601775e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.4           	p              	-5.03231111e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84671314e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.4           	U              	(3.15342060e-03 -1.60867124e-03 -5.13199416e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16645808e+00 1.70691894e-01 7.91593864e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.45          	p              	-5.03217728e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84680327e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.45          	U              	(3.15336329e-03 -1.60862792e-03 -5.13196953e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16645534e+00 1.70693255e-01 7.91585980e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.5           	p              	-5.03204411e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84689294e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.5           	U              	(3.15330663e-03 -1.60858520e-03 -5.13194479e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16645260e+00 1.70694614e-01 7.91578135e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.55          	p              	-5.03191035e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84698284e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.55          	U              	(3.15325036e-03 -1.60854288e-03 -5.13192071e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16644987e+00 1.70695971e-01 7.91570293e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.6           	p              	-5.03177782e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84707195e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.6           	U              	(3.15319471e-03 -1.60850112e-03 -5.13189606e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16644713e+00 1.70697324e-01 7.91562502e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.65          	p              	-5.03164554e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84716084e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.65          	U              	(3.15313961e-03 -1.60845989e-03 -5.13187177e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16644439e+00 1.70698674e-01 7.91554730e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.7           	p              	-5.03151398e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84724924e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.7           	U              	(3.15308515e-03 -1.60841923e-03 -5.13184729e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16644166e+00 1.70700022e-01 7.91547001e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.75          	p              	-5.03138247e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84733741e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.75          	U              	(3.15303126e-03 -1.60837913e-03 -5.13182299e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16643892e+00 1.70701366e-01 7.91539281e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.8           	p              	-5.03125151e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84742532e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.8           	U              	(3.15297794e-03 -1.60833957e-03 -5.13179873e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16643619e+00 1.70702707e-01 7.91531601e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.85          	p              	-5.03112119e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84751267e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.85          	U              	(3.15292522e-03 -1.60830056e-03 -5.13177445e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16643345e+00 1.70704044e-01 7.91523956e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.9           	p              	-5.03099101e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84759996e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.9           	U              	(3.15287305e-03 -1.60826206e-03 -5.13175037e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16643072e+00 1.70705378e-01 7.91516340e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
61.95          	p              	-5.03086135e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84768682e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
61.95          	U              	(3.15282144e-03 -1.60822407e-03 -5.13172629e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16642799e+00 1.70706709e-01 7.91508751e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
62             	p              	-5.03073209e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84777340e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
62             	U              	(3.15277037e-03 -1.60818659e-03 -5.13170230e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16642526e+00 1.70708036e-01 7.91501199e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
62.05          	p              	-5.03060332e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84785960e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
62.05          	U              	(3.15271987e-03 -1.60814963e-03 -5.13167834e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16642253e+00 1.70709360e-01 7.91493677e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
62.1           	p              	-5.03047512e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84794540e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
62.1           	U              	(3.15266995e-03 -1.60811320e-03 -5.13165439e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16641980e+00 1.70710679e-01 7.91486190e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
62.15          	p              	-5.03034721e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84803093e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
62.15          	U              	(3.15262058e-03 -1.60807729e-03 -5.13163057e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16641707e+00 1.70711995e-01 7.91478737e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
62.2           	p              	-5.03021981e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84811612e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
62.2           	U              	(3.15257181e-03 -1.60804192e-03 -5.13160673e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16641435e+00 1.70713307e-01 7.91471314e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
62.25          	p              	-5.03009280e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84820102e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
62.25          	U              	(3.15252356e-03 -1.60800704e-03 -5.13158307e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16641162e+00 1.70714615e-01 7.91463931e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
62.3           	p              	-5.02996613e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84828568e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
62.3           	U              	(3.15247587e-03 -1.60797265e-03 -5.13155943e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16640890e+00 1.70715919e-01 7.91456577e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
62.35          	p              	-5.02983995e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84836998e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
62.35          	U              	(3.15242870e-03 -1.60793876e-03 -5.13153589e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16640618e+00 1.70717219e-01 7.91449260e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
62.4           	p              	-5.02971421e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84845396e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
62.4           	U              	(3.15238208e-03 -1.60790535e-03 -5.13151240e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16640346e+00 1.70718514e-01 7.91441976e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
62.45          	p              	-5.02958893e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84853762e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
62.45          	U              	(3.15233600e-03 -1.60787243e-03 -5.13148899e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16640075e+00 1.70719805e-01 7.91434729e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
62.5           	p              	-5.02946408e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84862096e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
62.5           	U              	(3.15229046e-03 -1.60784001e-03 -5.13146564e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16639803e+00 1.70721092e-01 7.91427518e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
62.55          	p              	-5.02933668e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.84870192e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
62.55          	U              	(3.15224592e-03 -1.60780832e-03 -5.13144092e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16639532e+00 1.70722377e-01 7.91419649e-20)	(6.90656563e-01 2.44782347e+00 0.00000000e+00)
