# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
413            	p              	-4.78136704e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50348407e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
413            	U              	(-2.50422628e-01 -2.87948672e-01 -4.31882281e-19)	(4.37084432e+00 3.51641427e-01 -3.24975836e-17)	(1.23187653e+00 1.50699770e-01 2.58181779e-19)	(4.69495892e+00 -2.03414663e+00 -1.39106612e-17)
414            	p              	-4.80054031e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50848714e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
414            	U              	(-2.49356482e-01 -2.90626829e-01 -4.90008438e-19)	(3.28957691e+00 1.17894853e-01 5.02796503e-17)	(1.25408169e+00 1.29508553e-01 2.63905386e-19)	(4.69495892e+00 -2.03414663e+00 -1.39106612e-17)
415            	p              	-4.80473124e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50868003e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
415            	U              	(-2.50275105e-01 -2.53247049e-01 -5.82166462e-19)	(3.28957691e+00 1.17894853e-01 5.02796503e-17)	(1.27019509e+00 1.02791634e-01 2.58552276e-19)	(4.69495892e+00 -2.03414663e+00 -1.39106612e-17)
416            	p              	-4.79366869e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50553517e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
416            	U              	(-2.52938216e-01 -1.54364982e-01 -2.07883022e-19)	(3.09346251e+00 -1.17981676e-01 3.97282477e-17)	(1.22789700e+00 2.42978104e-01 2.22227820e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
417            	p              	-4.76474928e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50085300e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
417            	U              	(-2.59588103e-01 -1.41159419e-01 -1.12977615e-18)	(3.28957691e+00 -1.17894853e-01 -5.14360370e-17)	(1.22882522e+00 2.43756642e-01 2.18267137e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
418            	p              	-4.72288589e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.49251367e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
418            	U              	(-2.61050343e-01 -6.19165479e-02 -1.26330375e-18)	(3.28957691e+00 -1.17894853e-01 -5.14360370e-17)	(1.22921925e+00 2.44849558e-01 2.14535805e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
419            	p              	-4.66288341e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.48465991e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
419            	U              	(-1.91632290e-01 -3.32250681e-01 -6.98827094e-19)	(4.61520875e+00 -3.51322712e-01 -1.07277558e-17)	(1.22904698e+00 2.46190848e-01 2.10791695e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
420            	p              	-4.59218860e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.47665612e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
420            	U              	(-1.92820045e-01 -2.68081128e-01 -8.85896044e-19)	(4.61520875e+00 -3.51322712e-01 -1.07277558e-17)	(1.23281176e+00 1.71909451e-01 9.84214105e-20)	(1.01615410e+00 1.81488837e+00 -1.79807262e-17)
421            	p              	-4.55483747e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.47325215e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
421            	U              	(-2.36121000e-01 -9.39808101e-02 -2.10583745e-19)	(4.33814014e+00 -5.83938024e-01 3.28248113e-17)	(1.23147219e+00 2.49165899e-01 1.07956387e-19)	(3.27724258e-01 1.64666128e+00 2.51233415e-17)
422            	p              	-4.64311258e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.47468368e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
422            	U              	(-1.73326801e-01 -8.40350535e-02 -1.06881575e-18)	(4.61520875e+00 -3.51322712e-01 -1.07277558e-17)	(1.22515433e+00 2.50952818e-01 2.02940135e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
423            	p              	-4.70975412e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.48269479e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
423            	U              	(-9.29196617e-02 -2.71337025e-01 -1.12713440e-18)	(5.65610483e+00 -5.81186253e-01 -1.89850468e-17)	(1.22293580e+00 2.52508040e-01 2.01544732e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
424            	p              	-4.75650033e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.49542686e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
424            	U              	(-8.16148557e-02 -1.77167670e-01 -1.36995710e-18)	(5.65610483e+00 -5.81186253e-01 -1.89850468e-17)	(1.22041827e+00 2.53922594e-01 2.01097438e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
425            	p              	-4.78721588e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50491403e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
425            	U              	(-8.83461401e-02 -1.76723065e-01 -1.38357670e-18)	(6.14432555e+00 -1.03066096e+00 1.83849068e-17)	(1.21776815e+00 2.55099929e-01 2.01969832e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
426            	p              	-4.80210063e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50931651e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
426            	U              	(-9.65215324e-02 -6.52792943e-02 -4.14772818e-19)	(1.48871873e+00 -1.76335018e-01 0.00000000e+00)	(1.21520081e+00 2.55931489e-01 2.04292605e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
427            	p              	-4.80342362e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50834941e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
427            	U              	(-9.16613344e-02 -9.71366840e-02 -4.09257872e-19)	(1.48871873e+00 -1.76335018e-01 0.00000000e+00)	(1.21294560e+00 2.56317419e-01 2.08112136e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
428            	p              	-4.78875642e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50432493e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
428            	U              	(-8.61106293e-02 -1.23787185e-01 -3.70954228e-19)	(1.48871873e+00 -1.76335018e-01 0.00000000e+00)	(1.21967035e+00 1.49799901e-01 1.44595841e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
429            	p              	-4.75685517e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.49868013e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
429            	U              	(-1.73741243e-01 -1.03117370e-01 -1.76610575e-19)	(1.96917662e+00 7.75074990e-02 0.00000000e+00)	(1.21513184e+00 1.47443269e-01 1.70573056e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
430            	p              	-4.71042720e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.49069047e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
430            	U              	(-1.68291977e-01 -1.33835064e-01 -1.23674357e-19)	(1.96917662e+00 7.75074990e-02 0.00000000e+00)	(1.21179797e+00 1.43301828e-01 1.94977739e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
431            	p              	-4.64726284e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.48292483e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
431            	U              	(-1.90394195e-01 -1.61981268e-01 -1.23438207e-19)	(2.18345837e+00 8.59545214e-02 0.00000000e+00)	(1.21034342e+00 2.52770605e-01 2.29919821e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
432            	p              	-4.57455890e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.47530777e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
432            	U              	(-2.15837425e-01 -2.02137356e-01 -1.59437143e-19)	(2.53567344e+00 9.98388978e-02 -3.57837597e-17)	(1.21161804e+00 2.50859446e-01 2.34789712e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
433            	p              	-4.57683645e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.47288844e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
433            	U              	(-2.31442409e-01 -2.45392111e-01 -6.37946669e-19)	(3.09346251e+00 1.17981676e-01 -3.89573231e-17)	(1.21104489e+00 1.23436096e-01 2.40857763e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
434            	p              	-4.66025563e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.47603380e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
434            	U              	(-2.30963507e-01 -2.82723861e-01 -5.98713467e-19)	(3.09346251e+00 1.17981676e-01 -3.89573231e-17)	(1.21594737e+00 2.46772557e-01 2.39208248e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
435            	p              	-4.72197960e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.48538797e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
435            	U              	(-2.34472411e-01 -2.97965686e-01 -4.52931617e-19)	(3.09346251e+00 1.17981676e-01 -3.89573231e-17)	(1.21854563e+00 2.45017055e-01 2.38277746e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
436            	p              	-4.76495533e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.49803807e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
436            	U              	(-2.39147811e-01 -2.42591683e-01 -5.81933408e-19)	(4.37084432e+00 3.51641427e-01 -3.24975836e-17)	(1.22350828e+00 1.04497126e-01 2.10437475e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
437            	p              	-4.79245881e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50619859e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
437            	U              	(-2.47041471e-01 -3.03073987e-01 -4.36017263e-19)	(3.28957691e+00 1.17894853e-01 5.02796503e-17)	(1.24256123e+00 1.41729329e-01 2.61924864e-19)	(4.69495892e+00 -2.03414663e+00 -1.39106612e-17)
438            	p              	-4.80402984e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50929919e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
438            	U              	(-2.50231698e-01 -2.76092503e-01 -5.34103159e-19)	(3.28957691e+00 1.17894853e-01 5.02796503e-17)	(1.26230707e+00 1.17974372e-01 2.63025472e-19)	(4.69495892e+00 -2.03414663e+00 -1.39106612e-17)
439            	p              	-4.80232645e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50723883e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
439            	U              	(-2.49681346e-01 -2.30137945e-01 -6.27786061e-19)	(3.28957691e+00 1.17894853e-01 5.02796503e-17)	(1.22718909e+00 2.42702077e-01 2.24387168e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
440            	p              	-4.78254974e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50362995e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
440            	U              	(-2.58892937e-01 -1.22876923e-01 -1.72995180e-19)	(3.09346251e+00 -1.17981676e-01 3.97282477e-17)	(1.22838547e+00 2.43283469e-01 2.20391541e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
441            	p              	-4.74742545e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.49727651e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
441            	U              	(-2.61798154e-01 -1.06259955e-01 -1.20160698e-18)	(3.28957691e+00 -1.17894853e-01 -5.14360370e-17)	(1.22907170e+00 2.44217340e-01 2.16505710e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
442            	p              	-4.69723762e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.48883142e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
442            	U              	(-2.58863903e-01 -2.27227580e-02 -1.29810089e-18)	(3.28957691e+00 -1.17894853e-01 -5.14360370e-17)	(1.22920758e+00 2.45435604e-01 2.12774046e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
443            	p              	-4.63150161e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.48102840e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
443            	U              	(-1.92972612e-01 -3.06478761e-01 -7.96293341e-19)	(4.61520875e+00 -3.51322712e-01 -1.07277558e-17)	(1.23360756e+00 1.70229205e-01 1.00243127e-19)	(1.01615410e+00 1.81488837e+00 -1.79807262e-17)
444            	p              	-4.55697872e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.47371927e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
444            	U              	(-2.55818360e-02 -4.39107689e-01 -7.93201720e-19)	(6.94089297e+00 1.16278347e-01 0.00000000e+00)	(1.23222310e+00 2.48251939e-01 1.08169983e-19)	(3.27724258e-01 1.64666128e+00 2.51233415e-17)
445            	p              	-4.59787942e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.47288462e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
445            	U              	(-1.79819899e-01 -1.39680268e-01 -1.01944342e-18)	(4.61520875e+00 -3.51322712e-01 -1.07277558e-17)	(1.22619957e+00 2.50067833e-01 2.03996093e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
446            	p              	-4.67590020e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.47808406e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
446            	U              	(-1.01347448e-01 -3.15969347e-01 -1.00664694e-18)	(5.65610483e+00 -5.81186253e-01 -1.89850468e-17)	(1.22419272e+00 2.51667869e-01 2.02197506e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
447            	p              	-4.73259081e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.48897178e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
447            	U              	(-8.66275968e-02 -2.30056705e-01 -1.23483076e-18)	(5.65610483e+00 -5.81186253e-01 -1.89850468e-17)	(1.22181664e+00 2.53173511e-01 2.01152752e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
448            	p              	-4.77284663e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50023379e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
448            	U              	(-8.13840598e-02 -1.27840359e-01 -1.50961970e-18)	(5.65610483e+00 -5.81186253e-01 -1.89850468e-17)	(1.21921037e+00 2.54496609e-01 2.01316839e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
449            	p              	-4.79725222e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50683514e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
449            	U              	(-1.07416010e-01 -7.63492902e-02 -2.05915313e-18)	(6.06508443e+00 -1.24791226e+00 0.00000000e+00)	(1.21657118e+00 2.55528444e-01 2.02878493e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
450            	p              	-4.80533153e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50889568e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
450            	U              	(-9.44569406e-02 -8.04301633e-02 -4.15859248e-19)	(1.48871873e+00 -1.76335018e-01 0.00000000e+00)	(1.21412218e+00 2.56164960e-01 2.05887749e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
451            	p              	-4.79956249e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50659014e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
451            	U              	(-8.91322936e-02 -1.10084375e-01 -3.94922625e-19)	(1.48871873e+00 -1.76335018e-01 0.00000000e+00)	(1.22251962e+00 1.50263598e-01 1.30477458e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
452            	p              	-4.77558332e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50275066e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
452            	U              	(-1.76683625e-01 -8.24769369e-02 -2.03521645e-19)	(1.96917662e+00 7.75074990e-02 0.00000000e+00)	(1.21746514e+00 1.48946170e-01 1.56521991e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
453            	p              	-4.73732300e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.49583572e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
453            	U              	(-1.71134941e-01 -1.18525903e-01 -1.53150010e-19)	(1.96917662e+00 7.75074990e-02 0.00000000e+00)	(1.21343249e+00 1.45755871e-01 1.82123986e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
454            	p              	-4.68279045e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.48758725e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
454            	U              	(-1.93246706e-01 -1.46613843e-01 -1.29208749e-19)	(2.18345837e+00 8.59545214e-02 0.00000000e+00)	(1.21073723e+00 1.40877876e-01 2.05129179e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
455            	p              	-4.61561282e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.47894800e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
455            	U              	(-2.19685079e-01 -1.82090318e-01 -2.24244629e-19)	(2.53567344e+00 9.98388978e-02 -3.57837597e-17)	(1.21082831e+00 2.51930164e-01 2.32283040e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
456            	p              	-4.53814300e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.47282153e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
456            	U              	(-2.21037381e-01 -2.22781791e-01 -1.47722090e-19)	(2.66190925e+00 1.04815135e-01 1.11009894e-17)	(1.21008098e+00 1.27482214e-01 2.37608163e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
457            	p              	-4.61811182e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.47312040e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
457            	U              	(-2.30837676e-01 -2.65206448e-01 -6.32045393e-19)	(3.09346251e+00 1.17981676e-01 -3.89573231e-17)	(1.21218096e+00 1.20059361e-01 2.41284523e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
458            	p              	-4.69072079e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.48017634e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
458            	U              	(-2.32366257e-01 -2.92434463e-01 -5.49543499e-19)	(3.09346251e+00 1.17981676e-01 -3.89573231e-17)	(1.21712578e+00 2.45925702e-01 2.39031352e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
459            	p              	-4.74263589e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.49222381e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
459            	U              	(-2.37149927e-01 -2.97913441e-01 -3.44806253e-19)	(3.09346251e+00 1.17981676e-01 -3.89573231e-17)	(1.22054894e+00 1.07118513e-01 2.20512516e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
460            	p              	-4.77941250e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50235436e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
460            	U              	(-2.48823265e-01 -2.81106916e-01 -4.54398327e-19)	(4.37084432e+00 3.51641427e-01 -3.24975836e-17)	(1.22970556e+00 1.52280398e-01 2.57392057e-19)	(4.69495892e+00 -2.03414663e+00 -1.39106612e-17)
461            	p              	-4.79973277e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50803193e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
461            	U              	(-2.49173336e-01 -2.92988758e-01 -4.81711705e-19)	(3.28957691e+00 1.17894853e-01 5.02796503e-17)	(1.25231570e+00 1.31602533e-01 2.63774064e-19)	(4.69495892e+00 -2.03414663e+00 -1.39106612e-17)
462            	p              	-4.80471963e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50900512e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
462            	U              	(-2.50309321e-01 -2.57271803e-01 -5.74602623e-19)	(3.28957691e+00 1.17894853e-01 5.02796503e-17)	(1.26907182e+00 1.05359356e-01 2.59498911e-19)	(4.69495892e+00 -2.03414663e+00 -1.39106612e-17)
463            	p              	-4.79542340e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50585433e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
463            	U              	(-2.51728257e-01 -8.74190269e-02 -1.08052842e-19)	(2.79283550e+00 1.09976269e-01 -1.02317444e-17)	(1.22779073e+00 2.42923336e-01 2.22591555e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
464            	p              	-4.76772529e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.50155355e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
464            	U              	(-2.58876620e-01 -1.47495861e-01 -1.11464084e-18)	(3.28957691e+00 -1.17894853e-01 -5.14360370e-17)	(1.22876415e+00 2.43670849e-01 2.18601847e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
465            	p              	-4.72691620e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.49359676e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
465            	U              	(-2.61403519e-01 -6.89697658e-02 -1.25460558e-18)	(3.28957691e+00 -1.17894853e-01 -5.14360370e-17)	(1.22920525e+00 2.44740469e-01 2.14841003e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
466            	p              	-4.66855184e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.48536420e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
466            	U              	(-1.91408083e-01 -3.36149288e-01 -6.74747957e-19)	(4.61520875e+00 -3.51322712e-01 -1.07277558e-17)	(1.22908213e+00 2.46064550e-01 2.11090865e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
467            	p              	-4.59875873e-01	(-2.01798769e-01 1.01443079e+00 0.00000000e+00)	5.47721948e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
467            	U              	(-1.93225429e-01 -2.74740596e-01 -8.71654105e-19)	(4.61520875e+00 -3.51322712e-01 -1.07277558e-17)	(1.23295171e+00 1.71639854e-01 9.86557590e-20)	(1.01615410e+00 1.81488837e+00 -1.79807262e-17)
468            	p              	-4.54644195e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.47331472e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
468            	U              	(-2.32724046e-01 -8.28536193e-02 -1.10936524e-18)	(4.28740951e+00 -8.12811260e-01 1.06017766e-17)	(1.23159971e+00 2.49018865e-01 1.07983219e-19)	(3.27724258e-01 1.64666128e+00 2.51233415e-17)
469            	p              	-4.63589085e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.47446570e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
469            	U              	(-1.74212791e-01 -9.33389672e-02 -1.05807707e-18)	(4.61520875e+00 -3.51322712e-01 -1.07277558e-17)	(1.22532823e+00 2.50811851e-01 2.03098432e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
470            	p              	-4.70464040e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.48188450e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
470            	U              	(-1.34931846e-01 -6.94240858e-02 -8.93102814e-19)	(4.86867407e+00 -3.50992127e-01 -1.99869807e-17)	(1.22314265e+00 2.52375345e-01 2.01636128e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
471            	p              	-4.75286486e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.49439851e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
471            	U              	(-8.21738532e-02 -1.85837136e-01 -1.34665727e-18)	(5.65610483e+00 -5.81186253e-01 -1.89850468e-17)	(1.22064546e+00 2.53806188e-01 2.01076527e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
472            	p              	-4.78489161e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50437499e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
472            	U              	(-8.81615992e-02 -1.86400385e-01 -1.34858465e-18)	(6.14432555e+00 -1.03066096e+00 1.83849068e-17)	(1.21799784e+00 2.55009734e-01 2.01824022e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
473            	p              	-4.80134967e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50910232e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
473            	U              	(-9.68670264e-02 -6.22600576e-02 -4.13816261e-19)	(1.48871873e+00 -1.76335018e-01 0.00000000e+00)	(1.21541313e+00 2.55876702e-01 2.04017917e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
474            	p              	-4.80385047e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50852572e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
474            	U              	(-9.21277700e-02 -9.45085892e-02 -4.11037815e-19)	(1.48871873e+00 -1.76335018e-01 0.00000000e+00)	(1.21312074e+00 2.56305875e-01 2.07708590e-19)	(3.09901797e-01 1.55718056e+00 0.00000000e+00)
475            	p              	-4.79066285e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.50477762e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
475            	U              	(-8.65925761e-02 -1.21680153e-01 -3.75365454e-19)	(1.48871873e+00 -1.76335018e-01 0.00000000e+00)	(1.22011514e+00 1.49924874e-01 1.42236666e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
476            	p              	-4.75996312e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.49946866e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
476            	U              	(-1.74249998e-01 -9.98716855e-02 -1.81207312e-19)	(1.96917662e+00 7.75074990e-02 0.00000000e+00)	(1.21548553e+00 1.47736833e-01 1.68250035e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
477            	p              	-4.71535005e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.49138793e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
477            	U              	(-1.68738292e-01 -1.31501929e-01 -1.28685434e-19)	(1.96917662e+00 7.75074990e-02 0.00000000e+00)	(1.21203225e+00 1.43745830e-01 1.92957699e-19)	(1.65062352e+00 2.09448512e+00 0.00000000e+00)
478            	p              	-4.65346670e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.48355302e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
