# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
60             	1.72634015e-03	1.00284688e+00	-2.21623250e-01	-1.09085285e-01	-1.12537965e-01
61             	1.07471972e-03	1.00456462e+00	-2.55294607e-01	-1.26572584e-01	-1.28722023e-01
62             	3.90672353e-04	1.00905032e+00	-2.81313557e-01	-1.40266106e-01	-1.41047451e-01
63             	-3.11062328e-04	1.01371858e+00	-2.97287255e-01	-1.48954690e-01	-1.48332565e-01
64             	-1.01548876e-03	1.02001263e+00	-3.02055655e-01	-1.52043317e-01	-1.50012339e-01
65             	-1.70028876e-03	1.02867561e+00	-2.96093062e-01	-1.49746820e-01	-1.46346242e-01
66             	-2.33953171e-03	1.03731944e+00	-2.79025524e-01	-1.41852294e-01	-1.37173230e-01
67             	-2.90794691e-03	1.04665530e+00	-2.51415203e-01	-1.28615548e-01	-1.22799654e-01
68             	-3.37865811e-03	1.05625652e+00	-2.14794550e-01	-1.10775933e-01	-1.04018617e-01
69             	-3.72436479e-03	1.06581554e+00	-1.68979568e-01	-8.82141488e-02	-8.07654193e-02
70             	-3.91330620e-03	1.07450395e+00	-1.16208645e-01	-6.20176286e-02	-5.41910162e-02
71             	-3.91195259e-03	1.08214401e+00	-5.77523228e-02	-3.27881140e-02	-2.49642088e-02
72             	-3.69054660e-03	1.08845366e+00	4.61551630e-03	-1.38278845e-03	5.99830475e-03
73             	-3.22410273e-03	1.08974273e+00	6.80548529e-02	3.08033237e-02	3.72515292e-02
74             	-2.50609928e-03	1.08813035e+00	1.30388439e-01	6.26881202e-02	6.77003187e-02
75             	-1.56191997e-03	1.08538003e+00	1.88828348e-01	9.28522543e-02	9.59760942e-02
76             	-4.52012284e-04	1.08249205e+00	2.40246808e-01	1.19671392e-01	1.20575416e-01
77             	7.34846998e-04	1.08317670e+00	2.83340104e-01	1.42404899e-01	1.40935205e-01
78             	1.91187860e-03	1.08698305e+00	3.16660505e-01	1.60242131e-01	1.56418374e-01
79             	3.00844490e-03	1.09231508e+00	3.38205840e-01	1.72111365e-01	1.66094475e-01
80             	3.98138443e-03	1.10030242e+00	3.47121593e-01	1.77542181e-01	1.69579412e-01
81             	4.80205220e-03	1.10991599e+00	3.41651705e-01	1.75627905e-01	1.66023801e-01
82             	5.45659766e-03	1.12013606e+00	3.21105876e-01	1.66009536e-01	1.55096340e-01
83             	5.93009821e-03	1.12954468e+00	2.85524032e-01	1.48692114e-01	1.36831918e-01
84             	6.20421290e-03	1.13511445e+00	2.35977638e-01	1.24193032e-01	1.11784606e-01
85             	6.25772863e-03	1.13715532e+00	1.75251198e-01	9.38833276e-02	8.13678703e-02
86             	6.06428459e-03	1.13468809e+00	1.06803169e-01	5.94658690e-02	4.73372998e-02
87             	5.61451763e-03	1.13035397e+00	3.67817413e-02	2.40053883e-02	1.27763530e-02
88             	4.92041350e-03	1.12338496e+00	-2.96129670e-02	-9.88606999e-03	-1.97268970e-02
89             	4.02114473e-03	1.11489560e+00	-8.90060757e-02	-4.04818931e-02	-4.85241826e-02
90             	2.96945130e-03	1.10741934e+00	-1.40017739e-01	-6.70394180e-02	-7.29783206e-02
91             	1.83140435e-03	1.10267729e+00	-1.80217435e-01	-8.82773133e-02	-9.19401220e-02
92             	6.81647129e-04	1.10171400e+00	-2.07068399e-01	-1.02852552e-01	-1.04215847e-01
93             	-3.94430452e-04	1.10553132e+00	-2.19460658e-01	-1.10124759e-01	-1.09335898e-01
94             	-1.32418735e-03	1.11108053e+00	-2.17561478e-01	-1.10104926e-01	-1.07456551e-01
95             	-2.05769594e-03	1.11665317e+00	-2.03121014e-01	-1.03618203e-01	-9.95028110e-02
96             	-2.57133969e-03	1.12033570e+00	-1.77769608e-01	-9.14561437e-02	-8.63134643e-02
97             	-2.86155060e-03	1.12202274e+00	-1.43120580e-01	-7.44218405e-02	-6.86987393e-02
98             	-2.92957069e-03	1.12093246e+00	-1.01179099e-01	-5.35191201e-02	-4.76599787e-02
99             	-2.78304501e-03	1.11624552e+00	-5.53284342e-02	-3.04472621e-02	-2.48811721e-02
100            	-2.43894837e-03	1.10811228e+00	-9.95647209e-03	-7.41718442e-03	-2.53928767e-03
101            	-1.92565103e-03	1.09903476e+00	3.25582844e-02	1.43534912e-02	1.82047932e-02
102            	-1.28476457e-03	1.09146578e+00	7.09593637e-02	3.41949173e-02	3.67644464e-02
103            	-5.61908219e-04	1.08628432e+00	1.04102521e-01	5.14893521e-02	5.26131685e-02
104            	1.93759588e-04	1.08381608e+00	1.30618923e-01	6.55032210e-02	6.51157019e-02
105            	9.31170150e-04	1.08269326e+00	1.48277183e-01	7.50697619e-02	7.32074216e-02
106            	1.60024882e-03	1.08265835e+00	1.55584845e-01	7.93926713e-02	7.61921737e-02
107            	2.15837601e-03	1.08496652e+00	1.52845875e-01	7.85813135e-02	7.42645614e-02
108            	2.57284262e-03	1.08776029e+00	1.40152609e-01	7.26491471e-02	6.75034619e-02
109            	2.82528584e-03	1.09067128e+00	1.18760605e-01	6.22055884e-02	5.65550167e-02
110            	2.90368677e-03	1.09217508e+00	8.99500783e-02	4.78787259e-02	4.20713524e-02
111            	2.80010914e-03	1.09196433e+00	5.54962192e-02	3.05482187e-02	2.49480005e-02
112            	2.51857885e-03	1.09075729e+00	1.84373853e-02	1.17372715e-02	6.70011380e-03
113            	2.07323677e-03	1.08712621e+00	-1.88792250e-02	-7.36637574e-03	-1.15128493e-02
114            	1.48788044e-03	1.08243174e+00	-5.43895638e-02	-2.57069015e-02	-2.86826623e-02
115            	7.97107325e-04	1.07726325e+00	-8.61729247e-02	-4.22893550e-02	-4.38835697e-02
116            	4.47703982e-05	1.07259469e+00	-1.12590495e-01	-5.62504770e-02	-5.63400178e-02
117            	-7.20128950e-04	1.06968416e+00	-1.32180286e-01	-6.68102720e-02	-6.53700141e-02
