# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
3.00000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	6.94806082e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.00000000e-02	U              	(4.96729213e-02 -2.23516319e-02 4.82282653e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.91032101e-01 -7.21630232e-03 6.02073132e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.05000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	6.98221090e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.05000000e-02	U              	(4.91995060e-02 -2.19368166e-02 4.90056433e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.88967782e-01 -7.01766618e-03 6.11480512e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.10000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.01624606e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.10000000e-02	U              	(4.87505348e-02 -2.15393406e-02 4.97772288e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.86952663e-01 -6.82616233e-03 6.20725326e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.15000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.05015507e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.15000000e-02	U              	(4.83251509e-02 -2.11576155e-02 5.05420742e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.84984411e-01 -6.64227425e-03 6.29802510e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.20000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.08394182e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.20000000e-02	U              	(4.79168375e-02 -2.07874447e-02 5.12998495e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.83061329e-01 -6.46159130e-03 6.38712213e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.25000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.11761117e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.25000000e-02	U              	(4.75305540e-02 -2.04296279e-02 5.20505391e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.81182638e-01 -6.28653995e-03 6.47460429e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.30000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.15117417e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.30000000e-02	U              	(4.71628784e-02 -2.00843793e-02 5.27944209e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.79346765e-01 -6.11883755e-03 6.56055071e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.35000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.18463766e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.35000000e-02	U              	(4.68118633e-02 -1.97511584e-02 5.35317045e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.77550604e-01 -5.95978393e-03 6.64504557e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.40000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.21799953e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.40000000e-02	U              	(4.64767596e-02 -1.94272392e-02 5.42623790e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.75788683e-01 -5.80793339e-03 6.72815712e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.45000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.25125694e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.45000000e-02	U              	(4.61577854e-02 -1.91137103e-02 5.49861728e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.74065102e-01 -5.66071611e-03 6.80991661e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.50000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.28440291e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.50000000e-02	U              	(4.58534935e-02 -1.88098878e-02 5.57028321e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.72378861e-01 -5.51827011e-03 6.89031492e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.55000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.31743655e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.55000000e-02	U              	(4.55630324e-02 -1.85151385e-02 5.64120380e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.70728080e-01 -5.38050669e-03 6.96932837e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.60000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.35036019e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.60000000e-02	U              	(4.52853434e-02 -1.82289504e-02 5.71137655e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.69111602e-01 -5.24729621e-03 7.04698164e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.65000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.38317895e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.65000000e-02	U              	(4.50197009e-02 -1.79507683e-02 5.78080359e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.67527950e-01 -5.11831082e-03 7.12331148e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.70000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.41589893e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.70000000e-02	U              	(4.47657412e-02 -1.76807794e-02 5.84950534e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.65977713e-01 -4.99359549e-03 7.19837585e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.75000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.44852110e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.75000000e-02	U              	(4.45224247e-02 -1.74179371e-02 5.91748308e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.64457939e-01 -4.87294651e-03 7.27220071e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.80000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.48104564e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.80000000e-02	U              	(4.42874878e-02 -1.71624010e-02 5.98474329e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.62967839e-01 -4.75696156e-03 7.34482907e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.85000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.51347291e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.85000000e-02	U              	(4.40617844e-02 -1.69130635e-02 6.05127970e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.61506139e-01 -4.64432067e-03 7.41626967e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.90000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.54580230e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.90000000e-02	U              	(4.38455047e-02 -1.66699943e-02 6.11707602e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.60073180e-01 -4.53495188e-03 7.48654841e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
3.95000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.57803257e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.95000000e-02	U              	(4.36372029e-02 -1.64332425e-02 6.18211847e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(1.58667083e-01 -4.42871623e-03 7.55566956e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.00000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.61016799e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.00000000e-02	U              	(1.07368163e-03 -3.84937943e-02 6.24365534e-01)	(-1.35240568e-04 1.37647026e-03 1.50000000e-03)	(1.57286290e-01 -4.32487418e-03 7.62366777e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.05000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.64221137e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.05000000e-02	U              	(1.08790971e-03 -3.85093386e-02 6.25004421e-01)	(-1.35240568e-04 1.37647026e-03 1.50000000e-03)	(1.55932113e-01 -4.22392166e-03 7.69058938e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.10000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.67416461e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.10000000e-02	U              	(-1.54102216e-02 -4.51869291e-02 6.35609821e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.54604258e-01 -4.12611577e-03 7.75642703e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.15000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.70602974e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.15000000e-02	U              	(-1.54012161e-02 -4.51209314e-02 6.36475659e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.53301668e-01 -4.03150914e-03 7.82120330e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.20000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.73780733e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.20000000e-02	U              	(-1.53917006e-02 -4.50561710e-02 6.37330931e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.52023945e-01 -3.93989887e-03 7.88494609e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.25000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.76949739e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.25000000e-02	U              	(-1.53817011e-02 -4.49926206e-02 6.38175527e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.50770242e-01 -3.85118302e-03 7.94766082e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.30000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.80110067e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.30000000e-02	U              	(-1.53712532e-02 -4.49302551e-02 6.39009355e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.49540239e-01 -3.76523735e-03 8.00936194e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.35000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.83261795e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.35000000e-02	U              	(-1.53603870e-02 -4.48690397e-02 6.39832395e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.48333195e-01 -3.68196882e-03 8.07005859e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.40000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.86405118e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.40000000e-02	U              	(-1.53491360e-02 -4.48089462e-02 6.40644824e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.47148790e-01 -3.60129394e-03 8.12977128e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.45000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.89540189e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.45000000e-02	U              	(-1.53375245e-02 -4.47499444e-02 6.41446860e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.45986373e-01 -3.52315495e-03 8.18851667e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.50000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.92667182e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.50000000e-02	U              	(-1.53255820e-02 -4.46920125e-02 6.42238734e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.44845609e-01 -3.44749075e-03 8.24631676e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.55000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.95786181e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.55000000e-02	U              	(-1.53133355e-02 -4.46351279e-02 6.43020564e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.43725919e-01 -3.37426290e-03 8.30318644e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.60000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.98897525e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.60000000e-02	U              	(-1.53008493e-02 -4.45792353e-02 6.43792395e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.42627797e-01 -3.30215096e-03 8.35914184e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.65000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.02000795e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.65000000e-02	U              	(-1.52880699e-02 -4.45243520e-02 6.44554359e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.41551564e-01 -3.23205211e-03 8.41418941e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.70000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.05096401e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.70000000e-02	U              	(-1.52748280e-02 -4.44705443e-02 6.45306352e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.40497410e-01 -3.16333378e-03 8.46831648e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.75000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.08184145e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.75000000e-02	U              	(-1.52614087e-02 -4.44177337e-02 6.46048387e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.39463150e-01 -3.09608927e-03 8.52150795e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.80000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.11264418e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.80000000e-02	U              	(-1.52478452e-02 -4.43658499e-02 6.46780338e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.38447855e-01 -3.03073987e-03 8.57381781e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.85000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.14337175e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.85000000e-02	U              	(-1.52340774e-02 -4.43149279e-02 6.47502491e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.37451241e-01 -2.96734182e-03 8.62526380e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.90000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.17402572e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.90000000e-02	U              	(-1.52201640e-02 -4.42649114e-02 6.48214833e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.36473004e-01 -2.90582708e-03 8.67585799e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
4.95000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.20460673e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.95000000e-02	U              	(-1.52061099e-02 -4.42157954e-02 6.48917516e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.35512951e-01 -2.84608504e-03 8.72561605e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.00000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.23511725e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.00000000e-02	U              	(-1.51920003e-02 -4.41675615e-02 6.49610649e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.34572468e-01 -2.78990029e-03 8.77454959e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.05000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.26555653e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.05000000e-02	U              	(-1.51778269e-02 -4.41201863e-02 6.50294232e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.33650463e-01 -2.73621752e-03 8.82269275e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.10000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.29592460e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.10000000e-02	U              	(-1.51635094e-02 -4.40736754e-02 6.50968280e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.32745728e-01 -2.68385272e-03 8.87002408e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.15000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.32622300e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.15000000e-02	U              	(-1.51491016e-02 -4.40279904e-02 6.51632918e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.31858119e-01 -2.63267692e-03 8.91655196e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.20000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.35645224e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.20000000e-02	U              	(-1.51346389e-02 -4.39831098e-02 6.52288339e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.30987563e-01 -2.58282276e-03 8.96229323e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.25000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.38661678e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.25000000e-02	U              	(-1.51201718e-02 -4.39390414e-02 6.52934711e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.30134048e-01 -2.53380961e-03 9.00726030e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.30000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.41671048e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.30000000e-02	U              	(-1.51056743e-02 -4.38957570e-02 6.53571917e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.29296970e-01 -2.48627007e-03 9.05147005e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.35000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.44673604e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.35000000e-02	U              	(-1.50911029e-02 -4.38532555e-02 6.54200028e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.28475370e-01 -2.43997657e-03 9.09492215e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.40000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.47669460e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.40000000e-02	U              	(-1.50765005e-02 -4.38115084e-02 6.54819168e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.27669007e-01 -2.39483017e-03 9.13763040e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.45000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.50658679e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.45000000e-02	U              	(-1.50618398e-02 -4.37704798e-02 6.55429462e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.26877867e-01 -2.35080739e-03 9.17961104e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.50000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.53641305e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.50000000e-02	U              	(-1.50472085e-02 -4.37302219e-02 6.56031145e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.26101584e-01 -2.30790324e-03 9.22087290e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.55000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.56617404e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.55000000e-02	U              	(-1.50325942e-02 -4.36906959e-02 6.56623979e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.25339958e-01 -2.26613723e-03 9.26142801e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.60000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.59587144e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.60000000e-02	U              	(-1.50179582e-02 -4.36518847e-02 6.57207978e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.24593352e-01 -2.22510967e-03 9.30128526e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.65000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.62550752e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.65000000e-02	U              	(-1.50033165e-02 -4.36138052e-02 6.57783438e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.23862203e-01 -2.18437374e-03 9.34044550e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.70000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.65507873e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.70000000e-02	U              	(-1.49887377e-02 -4.35764090e-02 6.58350403e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.23145218e-01 -2.14449041e-03 9.37890996e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.75000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.68458711e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.75000000e-02	U              	(-1.49741811e-02 -4.35396968e-02 6.58908953e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.22441662e-01 -2.10581115e-03 9.41670481e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.80000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.71403247e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.80000000e-02	U              	(-1.49596903e-02 -4.35036072e-02 6.59459252e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.21751103e-01 -2.06827151e-03 9.45384697e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.85000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.74341510e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.85000000e-02	U              	(-1.49452221e-02 -4.34681611e-02 6.60001523e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.21073075e-01 -2.03177807e-03 9.49035470e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.90000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.77273491e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.90000000e-02	U              	(-1.49308084e-02 -4.34333701e-02 6.60535946e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.20406808e-01 -1.99628417e-03 9.52624380e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
5.95000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.80199144e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.95000000e-02	U              	(-1.49164582e-02 -4.33991521e-02 6.61062461e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.19751172e-01 -1.96168371e-03 9.56153928e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
6.00000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.83118384e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
6.00000000e-02	U              	(-1.49021212e-02 -4.33654773e-02 6.61581565e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.19104386e-01 -1.92787322e-03 9.59627823e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
6.05000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.86031147e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
6.05000000e-02	U              	(-1.48877972e-02 -4.33322875e-02 6.62093832e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(1.18463943e-01 -1.89472486e-03 9.63051811e-01)	(-3.75000000e-04 4.86951176e-21 1.50000000e-03)
6.10000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.88936672e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
