# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
1              	5.88703053e-01	7.36687930e+01	4.41176072e+00	2.79458341e+00	1.61717731e+00
2              	4.04823982e-01	5.26087894e+01	2.44770823e+00	1.62867809e+00	8.19030131e-01
3              	3.04709916e-01	-4.81938849e-01	-1.12965881e+00	-2.60119489e-01	-8.69539321e-01
4              	2.47076870e-01	-2.83895250e+01	-2.63945500e+00	-1.07265063e+00	-1.56680437e+00
5              	2.10084481e-01	-1.55493111e+01	-1.43968611e+00	-5.09758577e-01	-9.29927538e-01
6              	1.84771361e-01	1.13859843e+01	3.79498265e-01	3.74520494e-01	4.97777100e-03
7              	1.67255469e-01	2.22543340e+01	8.38458785e-01	5.86484862e-01	2.51973924e-01
8              	1.53856212e-01	1.22405138e+01	-9.07594709e-02	1.08476477e-01	-1.99235948e-01
9              	1.42995337e-01	-2.37939101e+00	-1.08822334e+00	-4.01116331e-01	-6.87107004e-01
10             	1.34080898e-01	-6.59950827e+00	-1.18674630e+00	-4.59292252e-01	-7.27454047e-01
11             	1.26653802e-01	-1.85770953e-01	-5.92435783e-01	-1.69564089e-01	-4.22871694e-01
12             	1.20500408e-01	7.16731728e+00	-1.13613938e-01	6.36934383e-02	-1.77307377e-01
13             	1.15234827e-01	8.21241526e+00	-1.90203289e-01	2.01331824e-02	-2.10336472e-01
14             	1.10438254e-01	4.03920947e+00	-5.85932832e-01	-1.82528162e-01	-4.03404670e-01
15             	1.06033016e-01	2.26442303e-01	-8.29620372e-01	-3.08777170e-01	-5.20843202e-01
16             	1.02091693e-01	1.34766922e-01	-7.43813010e-01	-2.69814812e-01	-4.73998198e-01
17             	9.86384438e-02	2.54110309e+00	-5.23670046e-01	-1.63196579e-01	-3.60473467e-01
18             	9.55800618e-02	4.32613001e+00	-4.31776605e-01	-1.20308241e-01	-3.11468365e-01
19             	9.27410782e-02	4.00524390e+00	-5.24040026e-01	-1.69278935e-01	-3.54761091e-01
