# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
2.95000000e-02	U              	(-7.39086190e-03 -7.11349464e-02 1.33707786e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58019550e-02 3.65828049e-02 1.46006417e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.00000000e-02	p              	-2.82624728e+00	(1.43951181e-04 1.45036143e-03 7.65000000e-02)	1.38705697e+00	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.00000000e-02	U              	(-7.39521667e-03 -7.11305804e-02 1.33680952e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58314462e-02 3.66073771e-02 1.45997530e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.05000000e-02	p              	-2.22258744e+00	(-1.43951181e-04 -1.45036143e-03 7.35000000e-02)	1.72604918e+00	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.05000000e-02	U              	(-7.40012903e-03 -7.11266657e-02 1.33654218e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58644952e-02 3.66348065e-02 1.45990639e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.10000000e-02	p              	-1.54469348e+00	(-1.43951181e-04 -1.45036143e-03 7.35000000e-02)	2.24789087e+00	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.10000000e-02	U              	(-7.40547266e-03 -7.11241921e-02 1.33629730e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.59009134e-02 3.66648773e-02 1.45988147e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.15000000e-02	p              	-8.02909949e-01	(-1.43951181e-04 -1.45036143e-03 7.65000000e-02)	2.95007666e+00	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.15000000e-02	U              	(-7.41110143e-03 -7.11240261e-02 1.33609512e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.59400850e-02 3.66970694e-02 1.45992084e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.20000000e-02	p              	-3.59390308e-02	(-1.43951181e-04 -1.45036143e-03 8.55000000e-02)	3.82136973e+00	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.20000000e-02	U              	(-7.41682719e-03 -7.11268217e-02 1.33595196e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.59810293e-02 3.67305651e-02 1.46003814e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.25000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	4.84258848e+00	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.25000000e-02	U              	(-7.42243525e-03 -7.11329235e-02 1.33587814e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.60224842e-02 3.67643319e-02 1.46023859e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.30000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.98825346e+00	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.30000000e-02	U              	(-7.42770666e-03 -7.11423222e-02 1.33587692e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.60630323e-02 3.67972237e-02 1.46051836e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.35000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.22879936e+00	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.35000000e-02	U              	(-7.43244169e-03 -7.11546656e-02 1.33594465e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.61012425e-02 3.68280957e-02 1.46086539e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.40000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.53300008e+00	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.40000000e-02	U              	(-7.43647854e-03 -7.11693185e-02 1.33607175e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.61358075e-02 3.68559134e-02 1.46126132e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.45000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	9.87027045e+00	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.45000000e-02	U              	(-7.43970564e-03 -7.11854573e-02 1.33624458e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.61656588e-02 3.68798413e-02 1.46168406e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.50000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.12125817e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.50000000e-02	U              	(-7.44206759e-03 -7.12021780e-02 1.33644741e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.61900452e-02 3.68993035e-02 1.46211060e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.55000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.25358328e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.55000000e-02	U              	(-7.44356384e-03 -7.12186017e-02 1.33666449e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.62085696e-02 3.69140092e-02 1.46251948e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.60000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.38206283e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.60000000e-02	U              	(-7.44424219e-03 -7.12339607e-02 1.33688163e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.62211830e-02 3.69239456e-02 1.46289280e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.65000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.50525050e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.65000000e-02	U              	(-7.44418799e-03 -7.12476573e-02 1.33708731e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.62281459e-02 3.69293437e-02 1.46321732e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.70000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.62217112e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.70000000e-02	U              	(-7.44351152e-03 -7.12592910e-02 1.33727322e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.62299647e-02 3.69306264e-02 1.46348491e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.75000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.73226680e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.75000000e-02	U              	(-7.44233558e-03 -7.12686589e-02 1.33743433e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.62273161e-02 3.69283470e-02 1.46369238e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.80000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.83532471e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.80000000e-02	U              	(-7.44078423e-03 -7.12757357e-02 1.33756856e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.62209706e-02 3.69231280e-02 1.46384072e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.85000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.93139744e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.85000000e-02	U              	(-7.43897380e-03 -7.12806393e-02 1.33767624e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.62117229e-02 3.69156066e-02 1.46393428e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.90000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.02072463e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.90000000e-02	U              	(-7.43700638e-03 -7.12835928e-02 1.33775954e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.62003350e-02 3.69063894e-02 1.46397969e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
3.95000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.10366094e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
3.95000000e-02	U              	(-7.43496613e-03 -7.12848859e-02 1.33782184e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.61874935e-02 3.68960203e-02 1.46398495e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.00000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.18061316e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.00000000e-02	U              	(-7.43291772e-03 -7.12848414e-02 1.33786726e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.61737820e-02 3.68849589e-02 1.46395864e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.05000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.25198746e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.05000000e-02	U              	(-7.43090630e-03 -7.12837886e-02 1.33790025e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.61596659e-02 3.68735698e-02 1.46390929e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.10000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.31814624e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.10000000e-02	U              	(-7.42895863e-03 -7.12820435e-02 1.33792529e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.61454881e-02 3.68621196e-02 1.46384493e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.15000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.37937435e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.15000000e-02	U              	(-7.42708511e-03 -7.12798950e-02 1.33794670e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.61314723e-02 3.68507802e-02 1.46377277e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.20000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.43585416e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.20000000e-02	U              	(-7.42528207e-03 -7.12775955e-02 1.33796845e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.61177319e-02 3.68396362e-02 1.46369899e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.25000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.48764960e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.25000000e-02	U              	(-7.42353442e-03 -7.12753545e-02 1.33799403e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.61042830e-02 3.68286959e-02 1.46362859e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.30000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.53469967e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.30000000e-02	U              	(-7.42181855e-03 -7.12733336e-02 1.33802634e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.60910609e-02 3.68179041e-02 1.46356530e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.35000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.57682220e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.35000000e-02	U              	(-7.42010525e-03 -7.12716430e-02 1.33806747e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.60779385e-02 3.68071575e-02 1.46351148e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.40000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.61372804e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.40000000e-02	U              	(-7.41836310e-03 -7.12703393e-02 1.33811865e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.60647466e-02 3.67963208e-02 1.46346807e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.45000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.64504563e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.45000000e-02	U              	(-7.41656146e-03 -7.12694241e-02 1.33818013e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.60512967e-02 3.67852450e-02 1.46343465e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.50000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.67035474e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.50000000e-02	U              	(-7.41467361e-03 -7.12688467e-02 1.33825108e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.60374031e-02 3.67737853e-02 1.46340947e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.55000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.68922682e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.55000000e-02	U              	(-7.41267995e-03 -7.12685090e-02 1.33832968e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.60229056e-02 3.67618187e-02 1.46338968e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.60000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.70126896e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.60000000e-02	U              	(-7.41057017e-03 -7.12682752e-02 1.33841324e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.60076889e-02 3.67492603e-02 1.46337156e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.65000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.70616725e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
4.65000000e-02	U              	(-7.40834513e-03 -7.12679840e-02 1.33849834e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.59916994e-02 3.67360750e-02 1.46335089e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.70000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.70372508e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
4.70000000e-02	U              	(-7.40601445e-03 -7.12674650e-02 1.33858120e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.59749556e-02 3.67222869e-02 1.46332338e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.75000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.69389313e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
4.75000000e-02	U              	(-7.40362418e-03 -7.12665550e-02 1.33865797e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.59575532e-02 3.67079792e-02 1.46328506e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.80000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.67678816e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
4.80000000e-02	U              	(-7.40116365e-03 -7.12651131e-02 1.33872506e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.59396611e-02 3.66932970e-02 1.46323269e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.85000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.65269854e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
4.85000000e-02	U              	(-7.39870327e-03 -7.12630274e-02 1.33877946e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.59215130e-02 3.66784356e-02 1.46316406e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.90000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.62207685e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
4.90000000e-02	U              	(-7.39628935e-03 -7.12602455e-02 1.33881899e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.59033922e-02 3.66636262e-02 1.46307822e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
4.95000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.58552079e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
4.95000000e-02	U              	(-7.39396966e-03 -7.12567610e-02 1.33884238e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58856121e-02 3.66491227e-02 1.46297553e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.00000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.54374480e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.00000000e-02	U              	(-7.39179020e-03 -7.12526184e-02 1.33884940e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58684918e-02 3.66351853e-02 1.46285761e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.05000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.49754553e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.05000000e-02	U              	(-7.38979087e-03 -7.12479049e-02 1.33884074e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58523405e-02 3.66220629e-02 1.46272717e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.10000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.44776473e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.10000000e-02	U              	(-7.38800495e-03 -7.12427457e-02 1.33881793e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58374360e-02 3.66099759e-02 1.46258773e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.15000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.39525263e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.15000000e-02	U              	(-7.38645722e-03 -7.12372917e-02 1.33878309e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58240083e-02 3.65991055e-02 1.46244332e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.20000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.34083479e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.20000000e-02	U              	(-7.38516266e-03 -7.12317056e-02 1.33873876e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58122307e-02 3.65895863e-02 1.46229815e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.25000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.28528453e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.25000000e-02	U              	(-7.38412655e-03 -7.12261495e-02 1.33868761e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58022122e-02 3.65815018e-02 1.46215628e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.30000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.22930199e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.30000000e-02	U              	(-7.38334499e-03 -7.12207739e-02 1.33863231e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.57939994e-02 3.65748851e-02 1.46202136e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.35000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.17350070e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.35000000e-02	U              	(-7.38280638e-03 -7.12157090e-02 1.33857526e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.57875787e-02 3.65697207e-02 1.46189647e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.40000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.11840113e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.40000000e-02	U              	(-7.38249279e-03 -7.12110584e-02 1.33851856e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.57828846e-02 3.65659528e-02 1.46178391e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.45000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.06443078e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.45000000e-02	U              	(-7.38238196e-03 -7.12068958e-02 1.33846382e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.57798094e-02 3.65634920e-02 1.46168521e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.50000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.01192962e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.50000000e-02	U              	(-7.38244913e-03 -7.12032643e-02 1.33841221e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.57782148e-02 3.65622257e-02 1.46160111e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.55000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.96115972e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.55000000e-02	U              	(-7.38266878e-03 -7.12001780e-02 1.33836443e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.57779436e-02 3.65620266e-02 1.46153164e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.60000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.91231767e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.60000000e-02	U              	(-7.38301617e-03 -7.11976253e-02 1.33832071e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.57788306e-02 3.65627619e-02 1.46147617e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.65000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.86554864e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.65000000e-02	U              	(-7.38346857e-03 -7.11955731e-02 1.33828094e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.57807132e-02 3.65643012e-02 1.46143362e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.70000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.82096080e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.70000000e-02	U              	(-7.38400620e-03 -7.11939724e-02 1.33824466e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.57834388e-02 3.65665229e-02 1.46140250e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.75000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.77863921e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.75000000e-02	U              	(-7.38461276e-03 -7.11927635e-02 1.33821121e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.57868715e-02 3.65693195e-02 1.46138116e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.80000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.73865815e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.80000000e-02	U              	(-7.38527569e-03 -7.11918814e-02 1.33817978e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.57908969e-02 3.65726000e-02 1.46136781e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.85000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.70109141e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.85000000e-02	U              	(-7.38598617e-03 -7.11912608e-02 1.33814954e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.57954232e-02 3.65762923e-02 1.46136077e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.90000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.66601982e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.90000000e-02	U              	(-7.38673873e-03 -7.11908405e-02 1.33811964e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58003824e-02 3.65803432e-02 1.46135846e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
5.95000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.63353585e+01	(-1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.95000000e-02	U              	(-7.38753077e-03 -7.11905676e-02 1.33808936e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58057279e-02 3.65847158e-02 1.46135957e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
6.00000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.60374517e+01	(1.43951181e-04 1.45036143e-03 1.50000000e-03)
6.00000000e-02	U              	(-7.38836180e-03 -7.11903995e-02 1.33805815e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58114322e-02 3.65893880e-02 1.46136307e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
6.05000000e-02	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	1.57676512e+01	(1.43951181e-04 1.45036143e-03 1.50000000e-03)
6.05000000e-02	U              	(-7.38923267e-03 -7.11903061e-02 1.33802565e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.58174817e-02 3.65943489e-02 1.46136828e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
