"N","Time","avg(T)","avg(X)","avg(Y)","avg(Z)","max(T)","max(X)","max(Y)","max(Z)","med(T)","med(X)","med(Y)","med(Z)","min(T)","min(X)","min(Y)","min(Z)","q1(T)","q1(X)","q1(Y)","q1(Z)","q3(T)","q3(X)","q3(Y)","q3(Z)","std(T)","std(X)","std(Y)","std(Z)","vtkValidPointMask"
1,5,3.6906e-22,3.5,0,0.5,3.6906e-22,3.5,0,0.5,3.6906e-22,3.5,0,0.5,3.6906e-22,3.5,0,0.5,3.6906e-22,3.5,0,0.5,3.6906e-22,3.5,0,0.5,0,0,0,0,1
1,10,1.2626e-12,3.5,0,0.5,1.2626e-12,3.5,0,0.5,1.2626e-12,3.5,0,0.5,1.2626e-12,3.5,0,0.5,1.2626e-12,3.5,0,0.5,1.2626e-12,3.5,0,0.5,0,0,0,0,1
1,15,2.1028e-07,3.5,0,0.5,2.1028e-07,3.5,0,0.5,2.1028e-07,3.5,0,0.5,2.1028e-07,3.5,0,0.5,2.1028e-07,3.5,0,0.5,2.1028e-07,3.5,0,0.5,0,0,0,0,1
1,20,0.00012927,3.5,0,0.5,0.00012927,3.5,0,0.5,0.00012927,3.5,0,0.5,0.00012927,3.5,0,0.5,0.00012927,3.5,0,0.5,0.00012927,3.5,0,0.5,0,0,0,0,1
1,25,0.0041904,3.5,0,0.5,0.0041904,3.5,0,0.5,0.0041904,3.5,0,0.5,0.0041904,3.5,0,0.5,0.0041904,3.5,0,0.5,0.0041904,3.5,0,0.5,0,0,0,0,1
1,30,0.028538,3.5,0,0.5,0.028538,3.5,0,0.5,0.028538,3.5,0,0.5,0.028538,3.5,0,0.5,0.028538,3.5,0,0.5,0.028538,3.5,0,0.5,0,0,0,0,1
1,35,0.083209,3.5,0,0.5,0.083209,3.5,0,0.5,0.083209,3.5,0,0.5,0.083209,3.5,0,0.5,0.083209,3.5,0,0.5,0.083209,3.5,0,0.5,0,0,0,0,1
1,40,0.15153,3.5,0,0.5,0.15153,3.5,0,0.5,0.15153,3.5,0,0.5,0.15153,3.5,0,0.5,0.15153,3.5,0,0.5,0.15153,3.5,0,0.5,0,0,0,0,1
1,45,0.21177,3.5,0,0.5,0.21177,3.5,0,0.5,0.21177,3.5,0,0.5,0.21177,3.5,0,0.5,0.21177,3.5,0,0.5,0.21177,3.5,0,0.5,0,0,0,0,1
1,50,0.25478,3.5,0,0.5,0.25478,3.5,0,0.5,0.25478,3.5,0,0.5,0.25478,3.5,0,0.5,0.25478,3.5,0,0.5,0.25478,3.5,0,0.5,0,0,0,0,1
1,55,0.28167,3.5,0,0.5,0.28167,3.5,0,0.5,0.28167,3.5,0,0.5,0.28167,3.5,0,0.5,0.28167,3.5,0,0.5,0.28167,3.5,0,0.5,0,0,0,0,1
1,60,0.29708,3.5,0,0.5,0.29708,3.5,0,0.5,0.29708,3.5,0,0.5,0.29708,3.5,0,0.5,0.29708,3.5,0,0.5,0.29708,3.5,0,0.5,0,0,0,0,1
1,65,0.30537,3.5,0,0.5,0.30537,3.5,0,0.5,0.30537,3.5,0,0.5,0.30537,3.5,0,0.5,0.30537,3.5,0,0.5,0.30537,3.5,0,0.5,0,0,0,0,1
1,70,0.30965,3.5,0,0.5,0.30965,3.5,0,0.5,0.30965,3.5,0,0.5,0.30965,3.5,0,0.5,0.30965,3.5,0,0.5,0.30965,3.5,0,0.5,0,0,0,0,1
1,75,0.31178,3.5,0,0.5,0.31178,3.5,0,0.5,0.31178,3.5,0,0.5,0.31178,3.5,0,0.5,0.31178,3.5,0,0.5,0.31178,3.5,0,0.5,0,0,0,0,1
1,80,0.31281,3.5,0,0.5,0.31281,3.5,0,0.5,0.31281,3.5,0,0.5,0.31281,3.5,0,0.5,0.31281,3.5,0,0.5,0.31281,3.5,0,0.5,0,0,0,0,1
1,85,0.31329,3.5,0,0.5,0.31329,3.5,0,0.5,0.31329,3.5,0,0.5,0.31329,3.5,0,0.5,0.31329,3.5,0,0.5,0.31329,3.5,0,0.5,0,0,0,0,1
1,90,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0,0,0,0,1
1,95,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0,0,0,0,1
1,100,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0,0,0,0,1
1,105,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0,0,0,0,1
1,110,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0,0,0,0,1
1,115,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0,0,0,0,1
1,120,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0.31338,3.5,0,0.5,0,0,0,0,1
