"T","Points:0","Points:1","Points:2"
6.959e-18,3.5,0,0.5
8.2723e-09,3.5,0,0.5
0.68122,3.5,0,0.5
0.6837,3.5,0,0.5
0.68468,3.5,0,0.5
0.68498,3.5,0,0.5
0.68498,3.5,0,0.5
0.68498,3.5,0,0.5
0.68498,3.5,0,0.5
0.68498,3.5,0,0.5
0.68498,3.5,0,0.5
0.68498,3.5,0,0.5
0.00026539,3.5,0,0.5
0.68498,3.5,0,0.5
0.68498,3.5,0,0.5
0.68498,3.5,0,0.5
0.68498,3.5,0,0.5
0.02935,3.5,0,0.5
0.19833,3.5,0,0.5
0.41162,3.5,0,0.5
0.55176,3.5,0,0.5
0.62542,3.5,0,0.5
0.66003,3.5,0,0.5
0.67502,3.5,0,0.5
