# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
0.05           	p              	-3.75998068e+01	(1.30675477e+01 -1.93303998e+01 1.31458292e-17)	5.02749531e+01	(8.50121714e+00 1.93303998e+01 -3.37940727e-17)
0.05           	U              	(3.80625437e-01 -5.66953397e-01 -8.30476460e-18)	(-1.03680492e+00 -3.82506484e-01 0.00000000e+00)	(1.76706530e+00 2.40777407e-02 1.24700170e-17)	(4.62739455e-02 1.17685237e+00 3.30045855e-17)
0.1            	p              	-2.32029977e+01	(8.50121714e+00 1.80346557e+01 0.00000000e+00)	1.68877386e+01	(1.30675477e+01 -1.80346557e+01 1.39511689e-17)
0.1            	U              	(3.05063719e-01 -3.44673886e-01 -5.27508879e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.54569685e+00 6.07280484e-01 2.61794764e-18)	(-3.82506484e-01 1.03680492e+00 3.62387835e-17)
0.15           	p              	-1.51058320e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	1.00999699e+00	(-1.17685237e+00 4.62739455e-02 -3.22763793e-17)
0.15           	U              	(1.94800769e-01 -2.85413165e-01 -9.55667928e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.81088861e+00 -9.97599030e-02 1.05547577e-18)	(1.38518882e-01 1.16988515e+00 -4.34292794e-17)
0.2            	p              	-1.46919902e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	8.20646272e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.2            	U              	(1.50287744e-01 -2.22471898e-01 -1.11218444e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.70395071e+00 -1.10950755e-01 9.12323992e-19)	(1.47461948e-01 1.24528550e+00 1.97398130e-17)
0.25           	p              	-1.42463882e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	7.79294830e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.25           	U              	(1.26378985e-01 -1.72971477e-01 -1.01714186e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.73361370e+00 2.12589524e-02 8.44646582e-19)	(4.33950669e-02 1.10382177e+00 0.00000000e+00)
0.3            	p              	-1.38990197e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	7.39837927e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.3            	U              	(1.07073950e-01 -1.35071764e-01 -1.00097004e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.67722699e+00 2.01832672e-02 7.87873046e-19)	(4.33950669e-02 1.10382177e+00 0.00000000e+00)
0.35           	p              	-1.36544288e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	7.07440672e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.35           	U              	(8.83631748e-02 -1.04812215e-01 -9.99048260e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.62425241e+00 2.20266435e-02 7.34107729e-19)	(4.33950669e-02 1.10382177e+00 0.00000000e+00)
0.4            	p              	-1.34675401e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.81818430e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.4            	U              	(6.99935890e-02 -7.96956996e-02 -9.90569848e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.62256261e+00 1.87876145e-01 8.87091004e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
0.45           	p              	-1.33118300e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.61985191e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.45           	U              	(5.24787230e-02 -5.82839854e-02 -9.75754856e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.62076963e+00 1.90284510e-01 8.77704844e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
0.5            	p              	-1.31731218e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.46567917e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.5            	U              	(3.63077784e-02 -3.97563968e-02 -9.54887943e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.61824925e+00 1.93778015e-01 8.68215608e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
