# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.05           	1.14866680e-01	6.68565284e+01	-4.30435932e+00	-2.03731298e+00	-2.26704634e+00
0.1            	1.12131692e-01	-2.77313552e+01	1.58701856e+00	9.05640970e-01	6.81377586e-01
0.15           	9.68075378e-02	2.44020943e+00	-6.15010348e-01	-2.10697636e-01	-4.04312712e-01
0.2            	8.26596001e-02	1.80480352e+00	-5.33016150e-01	-1.83848475e-01	-3.49167675e-01
0.25           	7.11748337e-02	1.76358787e+00	-5.04558760e-01	-1.81104546e-01	-3.23454214e-01
0.3            	6.22486698e-02	1.66858675e+00	-4.92222366e-01	-1.83862513e-01	-3.08359853e-01
0.35           	5.53692823e-02	1.55813418e+00	-4.90296614e-01	-1.89779025e-01	-3.00517589e-01
0.4            	5.00272255e-02	1.46968043e+00	-4.89605874e-01	-1.94775711e-01	-2.94830162e-01
0.45           	4.58141423e-02	1.39728122e+00	-4.89726163e-01	-1.99048939e-01	-2.90677224e-01
0.5            	4.24266450e-02	1.34055312e+00	-4.89991454e-01	-2.02569082e-01	-2.87422372e-01
0.55           	3.96469938e-02	1.29706559e+00	-4.90167215e-01	-2.05436614e-01	-2.84730602e-01
0.6            	3.73210059e-02	1.26339829e+00	-4.90441143e-01	-2.07899566e-01	-2.82541578e-01
0.65           	3.53385380e-02	1.23753442e+00	-4.90588836e-01	-2.09955880e-01	-2.80632956e-01
0.7            	3.36203891e-02	1.21786427e+00	-4.90811450e-01	-2.11785336e-01	-2.79026114e-01
0.75           	3.21082646e-02	1.20204324e+00	-4.90763407e-01	-2.13273439e-01	-2.77489968e-01
0.8            	3.07593634e-02	1.19051134e+00	-4.90692367e-01	-2.14586820e-01	-2.76105547e-01
0.85           	2.95412751e-02	1.18257057e+00	-4.90485928e-01	-2.15701689e-01	-2.74784239e-01
0.9            	2.84292416e-02	1.17792504e+00	-4.90008339e-01	-2.16574928e-01	-2.73433411e-01
0.95           	2.74040227e-02	1.17424669e+00	-4.89614523e-01	-2.17403239e-01	-2.72211284e-01
1              	2.64504641e-02	1.17347327e+00	-4.89180972e-01	-2.18140022e-01	-2.71040950e-01
1.05           	2.55567124e-02	1.17382110e+00	-4.88536936e-01	-2.18711756e-01	-2.69825180e-01
1.1            	2.47130306e-02	1.17681123e+00	-4.87708744e-01	-2.19141341e-01	-2.68567403e-01
1.15           	2.39112610e-02	1.18007464e+00	-4.86652669e-01	-2.19415074e-01	-2.67237596e-01
1.2            	2.31445821e-02	1.18451341e+00	-4.85545610e-01	-2.19628223e-01	-2.65917387e-01
1.25           	2.24082426e-02	1.19014810e+00	-4.84162664e-01	-2.19673090e-01	-2.64489575e-01
1.3            	2.16984295e-02	1.19644482e+00	-4.82769759e-01	-2.19686450e-01	-2.63083309e-01
1.35           	2.10113714e-02	1.20350790e+00	-4.81250407e-01	-2.19613832e-01	-2.61636575e-01
1.4            	2.03439970e-02	1.21076774e+00	-4.79555690e-01	-2.19433848e-01	-2.60121842e-01
1.45           	1.96940140e-02	1.21898154e+00	-4.77655977e-01	-2.19133974e-01	-2.58522002e-01
1.5            	1.90594876e-02	1.22749917e+00	-4.75521392e-01	-2.18701208e-01	-2.56820184e-01
1.55           	1.84390282e-02	1.23588141e+00	-4.73210461e-01	-2.18166202e-01	-2.55044259e-01
1.6            	1.78315072e-02	1.24508835e+00	-4.70836208e-01	-2.17586597e-01	-2.53249611e-01
1.65           	1.72360059e-02	1.25381076e+00	-4.68451432e-01	-2.16989710e-01	-2.51461722e-01
1.7            	1.66517426e-02	1.26251917e+00	-4.65792310e-01	-2.16244412e-01	-2.49547897e-01
1.75           	1.60781219e-02	1.27162068e+00	-4.63247083e-01	-2.15545419e-01	-2.47701663e-01
1.8            	1.55148671e-02	1.28093662e+00	-4.60042693e-01	-2.14506479e-01	-2.45536214e-01
1.85           	1.49614801e-02	1.29018427e+00	-4.56901047e-01	-2.13489043e-01	-2.43412003e-01
1.9            	1.44174187e-02	1.29862403e+00	-4.53635314e-01	-2.12400238e-01	-2.41235076e-01
