# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
14.74           	U               	(-1.69485975e-01 -1.63124951e-01 -4.08852710e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32868148e-04 1.94811584e-01 3.19778737e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.74           	p               	-8.62369411e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939108e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.75           	U               	(-1.69486012e-01 -1.63125005e-01 -4.08852711e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32827931e-04 1.94811615e-01 3.19778882e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.75           	p               	-8.62369390e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939109e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.76           	U               	(-1.69486050e-01 -1.63125059e-01 -4.08852631e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32792577e-04 1.94811656e-01 3.19778881e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.76           	p               	-8.62369402e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939110e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.77           	U               	(-1.69486087e-01 -1.63125112e-01 -4.08852618e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32752456e-04 1.94811682e-01 3.19778520e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.77           	p               	-8.62369380e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939112e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.78           	U               	(-1.69486124e-01 -1.63125165e-01 -4.08852454e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32713485e-04 1.94811715e-01 3.19779113e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.78           	p               	-8.62369378e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939115e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.79           	U               	(-1.69486161e-01 -1.63125217e-01 -4.08852378e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32675988e-04 1.94811748e-01 3.19779043e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.79           	p               	-8.62369360e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939116e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.8            	U               	(-1.69486197e-01 -1.63125269e-01 -4.08852382e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32638085e-04 1.94811785e-01 3.19778982e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.8            	p               	-8.62369375e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939118e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.81           	U               	(-1.69486233e-01 -1.63125321e-01 -4.08852275e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32596368e-04 1.94811807e-01 3.19778986e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.81           	p               	-8.62369344e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939119e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.82           	U               	(-1.69486269e-01 -1.63125372e-01 -4.08852299e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32560800e-04 1.94811847e-01 3.19779291e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.82           	p               	-8.62369365e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939121e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.83           	U               	(-1.69486305e-01 -1.63125423e-01 -4.08852214e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32523337e-04 1.94811879e-01 3.19778724e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.83           	p               	-8.62369343e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939123e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.84           	U               	(-1.69486340e-01 -1.63125474e-01 -4.08852153e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32486798e-04 1.94811911e-01 3.19779019e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.84           	p               	-8.62369337e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939125e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.85           	U               	(-1.69486376e-01 -1.63125524e-01 -4.08852153e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32450684e-04 1.94811945e-01 3.19779019e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.85           	p               	-8.62369337e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939125e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.86           	U               	(-1.69486410e-01 -1.63125574e-01 -4.08852116e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32414187e-04 1.94811975e-01 3.19778678e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.86           	p               	-8.62369333e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939126e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.87           	U               	(-1.69486445e-01 -1.63125623e-01 -4.08852081e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32378751e-04 1.94812006e-01 3.19779078e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.87           	p               	-8.62369316e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939128e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.88           	U               	(-1.69486480e-01 -1.63125673e-01 -4.08851948e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32342288e-04 1.94812034e-01 3.19778726e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.88           	p               	-8.62369313e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939130e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.89           	U               	(-1.69486514e-01 -1.63125721e-01 -4.08851938e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32304639e-04 1.94812059e-01 3.19778636e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.89           	p               	-8.62369313e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939131e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.9            	U               	(-1.69486548e-01 -1.63125770e-01 -4.08851854e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32268807e-04 1.94812088e-01 3.19778583e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.9            	p               	-8.62369297e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939133e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.91           	U               	(-1.69486582e-01 -1.63125818e-01 -4.08851820e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32233974e-04 1.94812120e-01 3.19778709e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.91           	p               	-8.62369295e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939135e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.92           	U               	(-1.69486615e-01 -1.63125866e-01 -4.08851787e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32199955e-04 1.94812150e-01 3.19778599e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.92           	p               	-8.62369287e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939136e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.93           	U               	(-1.69486648e-01 -1.63125914e-01 -4.08851787e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32164559e-04 1.94812177e-01 3.19778599e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.93           	p               	-8.62369287e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939136e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.94           	U               	(-1.69486681e-01 -1.63125961e-01 -4.08851782e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32130121e-04 1.94812207e-01 3.19778692e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.94           	p               	-8.62369280e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939138e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.95           	U               	(-1.69486714e-01 -1.63126008e-01 -4.08851688e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32095969e-04 1.94812236e-01 3.19778487e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.95           	p               	-8.62369283e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939140e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.96           	U               	(-1.69486746e-01 -1.63126054e-01 -4.08851628e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32062659e-04 1.94812267e-01 3.19778607e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.96           	p               	-8.62369269e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939142e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.97           	U               	(-1.69486779e-01 -1.63126101e-01 -4.08851516e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32029032e-04 1.94812296e-01 3.19778566e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.97           	p               	-8.62369259e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939144e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.98           	U               	(-1.69486811e-01 -1.63126146e-01 -4.08851532e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.32002483e-04 1.94812334e-01 3.19778603e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.98           	p               	-8.62369254e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939145e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
14.99           	U               	(-1.69486843e-01 -1.63126192e-01 -4.08851513e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31965217e-04 1.94812358e-01 3.19778346e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
14.99           	p               	-8.62369249e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939146e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15              	U               	(-1.69486874e-01 -1.63126238e-01 -4.08851455e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31932612e-04 1.94812384e-01 3.19779131e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15              	p               	-8.62369249e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939146e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.01           	U               	(-1.69486906e-01 -1.63126283e-01 -4.08851487e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31900036e-04 1.94812415e-01 3.19778316e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.01           	p               	-8.62369244e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939148e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.02           	U               	(-1.69486937e-01 -1.63126327e-01 -4.08851406e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31866568e-04 1.94812440e-01 3.19778471e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.02           	p               	-8.62369241e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939150e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.03           	U               	(-1.69486968e-01 -1.63126372e-01 -4.08851355e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31833538e-04 1.94812466e-01 3.19778452e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.03           	p               	-8.62369226e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939152e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.04           	U               	(-1.69486999e-01 -1.63126416e-01 -4.08851355e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31804757e-04 1.94812498e-01 3.19778452e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.04           	p               	-8.62369226e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939152e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.05           	U               	(-1.69487029e-01 -1.63126460e-01 -4.08851288e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31771110e-04 1.94812523e-01 3.19778328e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.05           	p               	-8.62369236e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939154e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.06           	U               	(-1.69487060e-01 -1.63126503e-01 -4.08851201e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31739889e-04 1.94812550e-01 3.19778405e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.06           	p               	-8.62369198e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939156e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.07           	U               	(-1.69487090e-01 -1.63126546e-01 -4.08851142e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31706824e-04 1.94812573e-01 3.19778370e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.07           	p               	-8.62369208e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939158e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.08           	U               	(-1.69487120e-01 -1.63126589e-01 -4.08851062e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31669547e-04 1.94812593e-01 3.19778598e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.08           	p               	-8.62369194e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939158e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.09           	U               	(-1.69487150e-01 -1.63126631e-01 -4.08851145e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31640267e-04 1.94812620e-01 3.19778249e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.09           	p               	-8.62369192e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939160e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.1            	U               	(-1.69487179e-01 -1.63126673e-01 -4.08851031e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31611316e-04 1.94812651e-01 3.19778179e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.1            	p               	-8.62369182e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939161e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.11           	U               	(-1.69487209e-01 -1.63126715e-01 -4.08851016e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31581474e-04 1.94812676e-01 3.19778339e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.11           	p               	-8.62369183e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939162e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.12           	U               	(-1.69487238e-01 -1.63126757e-01 -4.08850977e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31549060e-04 1.94812700e-01 3.19778428e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.12           	p               	-8.62369175e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939162e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.13           	U               	(-1.69487267e-01 -1.63126798e-01 -4.08851107e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31519826e-04 1.94812728e-01 3.19778454e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.13           	p               	-8.62369186e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939163e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.14           	U               	(-1.69487295e-01 -1.63126839e-01 -4.08851107e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31488336e-04 1.94812753e-01 3.19778454e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.14           	p               	-8.62369186e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939163e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.15           	U               	(-1.69487324e-01 -1.63126880e-01 -4.08851058e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31459149e-04 1.94812780e-01 3.19778320e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.15           	p               	-8.62369179e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939166e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.16           	U               	(-1.69487352e-01 -1.63126921e-01 -4.08850957e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31430478e-04 1.94812805e-01 3.19778406e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.16           	p               	-8.62369171e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939168e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.17           	U               	(-1.69487380e-01 -1.63126961e-01 -4.08850890e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31407977e-04 1.94812836e-01 3.19777949e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.17           	p               	-8.62369160e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939170e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.18           	U               	(-1.69487407e-01 -1.63127001e-01 -4.08850836e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31374886e-04 1.94812855e-01 3.19778108e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.18           	p               	-8.62369158e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939171e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.19           	U               	(-1.69487435e-01 -1.63127041e-01 -4.08850724e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31350284e-04 1.94812884e-01 3.19778565e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.19           	p               	-8.62369148e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939172e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.2            	U               	(-1.69487462e-01 -1.63127080e-01 -4.08850677e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31319415e-04 1.94812906e-01 3.19777748e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.2            	p               	-8.62369139e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939174e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.21           	U               	(-1.69487490e-01 -1.63127119e-01 -4.08850616e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31289877e-04 1.94812927e-01 3.19778329e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.21           	p               	-8.62369130e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939175e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.22           	U               	(-1.69487517e-01 -1.63127158e-01 -4.08850589e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31256454e-04 1.94812946e-01 3.19778328e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.22           	p               	-8.62369119e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939176e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.23           	U               	(-1.69487544e-01 -1.63127197e-01 -4.08850620e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31231149e-04 1.94812976e-01 3.19778439e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.23           	p               	-8.62369127e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939177e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.24           	U               	(-1.69487571e-01 -1.63127235e-01 -4.08850581e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31199561e-04 1.94812994e-01 3.19777732e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.24           	p               	-8.62369116e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939178e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.25           	U               	(-1.69487598e-01 -1.63127273e-01 -4.08850616e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31173267e-04 1.94813019e-01 3.19778600e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.25           	p               	-8.62369121e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939179e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.26           	U               	(-1.69487625e-01 -1.63127311e-01 -4.08850533e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31145374e-04 1.94813045e-01 3.19778112e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.26           	p               	-8.62369104e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939181e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.27           	U               	(-1.69487651e-01 -1.63127348e-01 -4.08850499e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31125157e-04 1.94813074e-01 3.19777969e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.27           	p               	-8.62369122e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939181e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.28           	U               	(-1.69487677e-01 -1.63127385e-01 -4.08850528e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31093304e-04 1.94813092e-01 3.19777781e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.28           	p               	-8.62369094e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939182e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.29           	U               	(-1.69487703e-01 -1.63127422e-01 -4.08850466e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31070965e-04 1.94813120e-01 3.19778643e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.29           	p               	-8.62369110e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939183e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.3            	U               	(-1.69487728e-01 -1.63127459e-01 -4.08850469e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31041798e-04 1.94813141e-01 3.19777516e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.3            	p               	-8.62369097e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939184e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.31           	U               	(-1.69487753e-01 -1.63127495e-01 -4.08850398e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.31015097e-04 1.94813161e-01 3.19778159e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.31           	p               	-8.62369104e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939186e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.32           	U               	(-1.69487779e-01 -1.63127532e-01 -4.08850348e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.30981901e-04 1.94813178e-01 3.19778243e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.32           	p               	-8.62369076e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939187e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.33           	U               	(-1.69487804e-01 -1.63127567e-01 -4.08850331e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.30960649e-04 1.94813207e-01 3.19778393e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.33           	p               	-8.62369098e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939188e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.34           	U               	(-1.69487828e-01 -1.63127603e-01 -4.08850274e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.30929043e-04 1.94813222e-01 3.19777533e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.34           	p               	-8.62369070e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939189e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.35           	U               	(-1.69487853e-01 -1.63127639e-01 -4.08850300e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.30906883e-04 1.94813246e-01 3.19778649e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.35           	p               	-8.62369079e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939191e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.36           	U               	(-1.69487878e-01 -1.63127674e-01 -4.08850214e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.30880651e-04 1.94813272e-01 3.19777966e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.36           	p               	-8.62369054e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939192e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.37           	U               	(-1.69487902e-01 -1.63127709e-01 -4.08850182e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.30856745e-04 1.94813294e-01 3.19778233e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.37           	p               	-8.62369067e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939193e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
15.38           	U               	(-1.69487927e-01 -1.63127743e-01 -4.08850182e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.30830163e-04 1.94813312e-01 3.19778233e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
15.38           	p               	-8.62369067e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939193e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
