# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
2.45           	3.93168566e-02	2.67600777e+00	-4.45375876e-01	-1.83371081e-01	-2.62004795e-01
2.5            	3.84177746e-02	2.66960786e+00	-4.42575351e-01	-1.82869901e-01	-2.59705450e-01
2.55           	3.75310853e-02	2.66342999e+00	-4.39656012e-01	-1.82296921e-01	-2.57359091e-01
2.6            	3.66564300e-02	2.65745387e+00	-4.36639574e-01	-1.81663357e-01	-2.54976217e-01
2.65           	3.57934785e-02	2.65168634e+00	-4.33564585e-01	-1.80988814e-01	-2.52575771e-01
2.7            	3.49419450e-02	2.64608199e+00	-4.30428898e-01	-1.80272504e-01	-2.50156394e-01
2.75           	3.41015819e-02	2.64065210e+00	-4.27211659e-01	-1.79504248e-01	-2.47707412e-01
2.8            	3.32721587e-02	2.63537618e+00	-4.23933034e-01	-1.78694358e-01	-2.45238676e-01
2.85           	3.24534648e-02	2.63026582e+00	-4.20609255e-01	-1.77851163e-01	-2.42758092e-01
2.9            	3.16453305e-02	2.62528683e+00	-4.17254786e-01	-1.76982062e-01	-2.40272723e-01
2.95           	3.08476138e-02	2.62044425e+00	-4.13805152e-01	-1.76054962e-01	-2.37750190e-01
3              	3.00601650e-02	2.61571661e+00	-4.10305243e-01	-1.75092457e-01	-2.35212787e-01
3.05           	2.92828591e-02	2.61112656e+00	-4.06751231e-01	-1.74092756e-01	-2.32658475e-01
3.1            	2.85155746e-02	2.60663725e+00	-4.03184713e-01	-1.73076782e-01	-2.30107931e-01
3.15           	2.77582271e-02	2.60225853e+00	-3.99515138e-01	-1.71999342e-01	-2.27515796e-01
3.2            	2.70107139e-02	2.59797365e+00	-3.95832797e-01	-1.70905684e-01	-2.24927112e-01
3.25           	2.62729618e-02	2.59378083e+00	-3.92118312e-01	-1.69786194e-01	-2.22332118e-01
3.3            	2.55448948e-02	2.58968916e+00	-3.88404737e-01	-1.68657474e-01	-2.19747263e-01
3.35           	2.48264668e-02	2.58567558e+00	-3.84622060e-01	-1.67484563e-01	-2.17137497e-01
3.4            	2.41176174e-02	2.58174562e+00	-3.80794056e-01	-1.66279411e-01	-2.14514645e-01
